Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
10_R1_001_val_1	10_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48311972.0	0.0	20-150	40.0	36.058071112568115	147.75510649824022	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
10_R2_001_val_2	10_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48311972.0	0.0	20-150	40.0	36.88806442004129	147.55933061478012	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
11_R1_001_val_1	11_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41904774.0	0.0	20-150	40.0	34.864170959572874	147.58368729061752	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
11_R2_001_val_2	11_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41904774.0	0.0	20-150	40.0	35.47049997008095	147.41476035642145	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
12_R1_001_val_1	12_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47265837.0	0.0	20-150	40.0	41.11519697662612	147.89926565777307	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
12_R2_001_val_2	12_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47265837.0	0.0	20-150	41.0	41.89653688274665	147.71899473609238	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass
13_R1_001_val_1	13_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44201639.0	0.0	20-150	40.0	35.55514548731828	147.87411846877444	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
13_R2_001_val_2	13_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44201639.0	0.0	20-150	40.0	36.390945305556926	147.703773043348	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
14_R1_001_val_1	14_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39786878.0	0.0	20-150	39.0	32.338160414111464	147.0855235738778	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
14_R2_001_val_2	14_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39786878.0	0.0	20-150	39.0	32.75287498072095	146.89147414381193	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
15_R1_001_val_1	15_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43488345.0	0.0	20-150	41.0	38.68877566316809	147.88320921387097	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
15_R2_001_val_2	15_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43488345.0	0.0	20-150	41.0	39.3591157506302	147.7295441571759	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
16_R1_001_val_1	16_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44196125.0	0.0	20-150	40.0	33.385621459829196	147.64948773223898	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
16_R2_001_val_2	16_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44196125.0	0.0	20-150	40.0	34.49544672425623	147.44096748300896	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
17_R1_001_val_1	17_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48674328.0	0.0	20-150	40.0	35.95666049755108	146.93391818372922	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
17_R2_001_val_2	17_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48674328.0	0.0	20-150	40.0	36.39947386142948	146.78360424410997	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
18_R1_001_val_1	18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44210245.0	0.0	20-150	39.0	28.283455384081503	148.89381097073766	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
18_R2_001_val_2	18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44210245.0	0.0	20-150	39.0	28.74165940569446	148.7676904527446	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
19_R1_001_val_1	19_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41854452.0	0.0	20-150	41.0	34.30112450282109	147.5579432027924	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
19_R2_001_val_2	19_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41854452.0	0.0	20-150	41.0	34.79173830246584	147.40102866476425	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
1_R1_001_val_1	1_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53069714.0	0.0	20-150	41.0	34.018143004570426	148.123540028876	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
1_R2_001_val_2	1_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53069714.0	0.0	20-150	41.0	35.50305574697787	147.88259141551055	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
20_R1_001_val_1	20_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41933950.0	0.0	20-150	40.0	38.271708731277684	147.52015293097836	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
20_R2_001_val_2	20_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41933950.0	0.0	20-150	40.0	38.98981495664211	147.33825089217686	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
21_R1_001_val_1	21_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43517266.0	0.0	20-150	40.0	41.34496129792739	147.52464166751653	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
21_R2_001_val_2	21_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43517266.0	0.0	20-150	40.0	41.95930774063099	147.3815665258015	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
22_R1_001_val_1	22_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44988955.0	0.0	20-150	40.0	38.726223847512934	147.60935783016075	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
22_R2_001_val_2	22_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44988955.0	0.0	20-150	40.0	39.40623351738093	147.43246323458723	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
23_R1_001_val_1	23_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49026543.0	0.0	20-150	40.0	36.34836828276326	147.3933707502077	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
23_R2_001_val_2	23_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49026543.0	0.0	20-150	40.0	36.73994240240576	147.25311344101908	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
24_R1_001_val_1	24_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42257746.0	0.0	20-150	40.0	38.31513239714971	147.71163177988717	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
24_R2_001_val_2	24_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42257746.0	0.0	20-150	40.0	39.065752784392785	147.55901644635756	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
25_R1_001_val_1	25_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43986055.0	0.0	20-150	41.0	40.60743982748078	147.74142591328092	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
25_R2_001_val_2	25_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43986055.0	0.0	20-150	41.0	41.61092500667743	147.57164501340253	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
26_R1_001_val_1	26_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47236128.0	0.0	20-150	40.0	41.24143142085746	147.4802989991051	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
26_R2_001_val_2	26_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47236128.0	0.0	20-150	40.0	41.92634786423605	147.33163772441299	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
27_R1_001_val_1	27_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50419872.0	0.0	20-150	41.0	34.44262387456589	147.67593170407096	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
27_R2_001_val_2	27_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50419872.0	0.0	20-150	41.0	35.36879086970011	147.51316076328	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
28_R1_001_val_1	28_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48447323.0	0.0	20-150	40.0	38.54617520661187	147.2513617109453	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
28_R2_001_val_2	28_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48447323.0	0.0	20-150	41.0	39.40000654585786	147.09660083798644	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
2_R1_001_val_1	2_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46516230.0	0.0	20-150	40.0	29.14145405662472	147.67321083415402	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
2_R2_001_val_2	2_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46516230.0	0.0	20-150	41.0	29.971080368709536	147.48961895665232	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
30_R1_001_val_1	30_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47526689.0	0.0	20-150	40.0	38.82411172464369	148.1436030185061	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
30_R2_001_val_2	30_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47526689.0	0.0	20-150	41.0	40.12318808190624	147.90372786120236	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
31_R1_001_val_1	31_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50960267.0	0.0	20-150	40.0	35.97041623182146	147.48729646569552	pass	pass	warn	pass	warn	warn	pass	warn	fail	pass	pass
31_R2_001_val_2	31_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50960267.0	0.0	20-150	40.0	36.78651470929282	147.31604298698042	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
34_R1_001_val_1	34_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44542424.0	0.0	20-150	41.0	30.336913794929504	147.91448597409067	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
34_R2_001_val_2	34_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44542424.0	0.0	20-150	41.0	31.553290536500704	147.67652896483585	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
36_R1_001_val_1	36_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53294029.0	0.0	20-150	40.0	36.50056106241792	147.68363921219017	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
36_R2_001_val_2	36_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53294029.0	0.0	20-150	40.0	37.042185511767684	147.52027492610853	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
4_R1_001_val_1	4_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53497354.0	0.0	20-150	41.0	36.368142045871124	147.65918269527873	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
4_R2_001_val_2	4_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53497354.0	0.0	20-150	41.0	36.9625142642238	147.50701131872802	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
50_R1_001_val_1	50_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45886352.0	0.0	20-150	40.0	41.076755662245354	147.44205425177404	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
50_R2_001_val_2	50_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45886352.0	0.0	20-150	40.0	41.90149454790934	147.25833685798338	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
5_R1_001_val_1	5_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44679810.0	0.0	20-150	41.0	38.88699617614082	146.74266904895075	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
5_R2_001_val_2	5_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44679810.0	0.0	20-150	41.0	39.874886588139006	146.5656407894304	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
6_R1_001_val_1	6_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37097643.0	0.0	20-150	41.0	37.044833843527556	147.76314878009904	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
