Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
10_R1_001_val_1	63.941928887431885	40.0	147.75510649824022	18.181818181818183	48311972.0
10_R2_001_val_2	63.11193557995871	40.0	147.55933061478012	18.181818181818183	48311972.0
11_R1_001_val_1	65.13582904042713	40.0	147.58368729061752	18.181818181818183	41904774.0
11_R2_001_val_2	64.52950002991905	40.0	147.41476035642145	18.181818181818183	41904774.0
12_R1_001_val_1	58.88480302337388	40.0	147.89926565777307	18.181818181818183	47265837.0
12_R2_001_val_2	58.10346311725335	41.0	147.71899473609238	18.181818181818183	47265837.0
13_R1_001_val_1	64.44485451268173	40.0	147.87411846877444	18.181818181818183	44201639.0
13_R2_001_val_2	63.609054694443074	40.0	147.703773043348	18.181818181818183	44201639.0
14_R1_001_val_1	67.66183958588854	39.0	147.0855235738778	18.181818181818183	39786878.0
14_R2_001_val_2	67.24712501927905	39.0	146.89147414381193	18.181818181818183	39786878.0
15_R1_001_val_1	61.31122433683191	41.0	147.88320921387097	18.181818181818183	43488345.0
15_R2_001_val_2	60.6408842493698	41.0	147.7295441571759	18.181818181818183	43488345.0
16_R1_001_val_1	66.6143785401708	40.0	147.64948773223898	18.181818181818183	44196125.0
16_R2_001_val_2	65.50455327574377	40.0	147.44096748300896	18.181818181818183	44196125.0
17_R1_001_val_1	64.04333950244893	40.0	146.93391818372922	18.181818181818183	48674328.0
17_R2_001_val_2	63.60052613857052	40.0	146.78360424410997	18.181818181818183	48674328.0
18_R1_001_val_1	71.7165446159185	39.0	148.89381097073766	18.181818181818183	44210245.0
18_R2_001_val_2	71.25834059430554	39.0	148.7676904527446	18.181818181818183	44210245.0
19_R1_001_val_1	65.6988754971789	41.0	147.5579432027924	18.181818181818183	41854452.0
19_R2_001_val_2	65.20826169753417	41.0	147.40102866476425	18.181818181818183	41854452.0
1_R1_001_val_1	65.98185699542958	41.0	148.123540028876	18.181818181818183	53069714.0
1_R2_001_val_2	64.49694425302212	41.0	147.88259141551055	18.181818181818183	53069714.0
20_R1_001_val_1	61.728291268722316	40.0	147.52015293097836	18.181818181818183	41933950.0
20_R2_001_val_2	61.01018504335789	40.0	147.33825089217686	18.181818181818183	41933950.0
21_R1_001_val_1	58.65503870207261	40.0	147.52464166751653	18.181818181818183	43517266.0
21_R2_001_val_2	58.04069225936901	40.0	147.3815665258015	18.181818181818183	43517266.0
22_R1_001_val_1	61.273776152487066	40.0	147.60935783016075	18.181818181818183	44988955.0
22_R2_001_val_2	60.59376648261907	40.0	147.43246323458723	18.181818181818183	44988955.0
23_R1_001_val_1	63.65163171723674	40.0	147.3933707502077	18.181818181818183	49026543.0
23_R2_001_val_2	63.26005759759424	40.0	147.25311344101908	18.181818181818183	49026543.0
24_R1_001_val_1	61.68486760285029	40.0	147.71163177988717	18.181818181818183	42257746.0
24_R2_001_val_2	60.934247215607215	40.0	147.55901644635756	18.181818181818183	42257746.0
25_R1_001_val_1	59.39256017251922	41.0	147.74142591328092	18.181818181818183	43986055.0
25_R2_001_val_2	58.38907499332257	41.0	147.57164501340253	18.181818181818183	43986055.0
26_R1_001_val_1	58.75856857914254	40.0	147.4802989991051	18.181818181818183	47236128.0
26_R2_001_val_2	58.07365213576395	40.0	147.33163772441299	18.181818181818183	47236128.0
27_R1_001_val_1	65.5573761254341	41.0	147.67593170407096	18.181818181818183	50419872.0
27_R2_001_val_2	64.63120913029988	41.0	147.51316076328	18.181818181818183	50419872.0
28_R1_001_val_1	61.45382479338813	40.0	147.2513617109453	18.181818181818183	48447323.0
28_R2_001_val_2	60.59999345414214	41.0	147.09660083798644	18.181818181818183	48447323.0
2_R1_001_val_1	70.85854594337528	40.0	147.67321083415402	18.181818181818183	46516230.0
2_R2_001_val_2	70.02891963129046	41.0	147.48961895665232	18.181818181818183	46516230.0
30_R1_001_val_1	61.17588827535631	40.0	148.1436030185061	9.090909090909092	47526689.0
30_R2_001_val_2	59.87681191809376	41.0	147.90372786120236	9.090909090909092	47526689.0
31_R1_001_val_1	64.02958376817854	40.0	147.48729646569552	9.090909090909092	50960267.0
31_R2_001_val_2	63.21348529070718	40.0	147.31604298698042	9.090909090909092	50960267.0
34_R1_001_val_1	69.6630862050705	41.0	147.91448597409067	18.181818181818183	44542424.0
34_R2_001_val_2	68.4467094634993	41.0	147.67652896483585	18.181818181818183	44542424.0
36_R1_001_val_1	63.49943893758208	40.0	147.68363921219017	18.181818181818183	53294029.0
36_R2_001_val_2	62.957814488232316	40.0	147.52027492610853	18.181818181818183	53294029.0
4_R1_001_val_1	63.631857954128876	41.0	147.65918269527873	18.181818181818183	53497354.0
4_R2_001_val_2	63.0374857357762	41.0	147.50701131872802	18.181818181818183	53497354.0
50_R1_001_val_1	58.923244337754646	40.0	147.44205425177404	18.181818181818183	45886352.0
50_R2_001_val_2	58.09850545209066	40.0	147.25833685798338	18.181818181818183	45886352.0
5_R1_001_val_1	61.11300382385918	41.0	146.74266904895075	18.181818181818183	44679810.0
5_R2_001_val_2	60.125113411860994	41.0	146.5656407894304	18.181818181818183	44679810.0
6_R1_001_val_1	62.955166156472444	41.0	147.76314878009904	18.181818181818183	37097643.0
6_R2_001_val_2	61.975493736764015	41.0	147.57819298654636	18.181818181818183	37097643.0
7_R1_001_val_1	64.6281544063101	40.0	148.17436849148274	18.181818181818183	46711484.0
7_R2_001_val_2	63.92812988838615	40.0	148.0016722226166	18.181818181818183	46711484.0
8_R1_001_val_1	67.8278229383007	41.0	148.11781362820273	18.181818181818183	48581417.0
8_R2_001_val_2	66.85776447801054	41.0	147.95280660504406	18.181818181818183	48581417.0
9_R1_001_val_1	71.94697126640405	41.0	147.61962902175938	18.181818181818183	40564212.0
9_R2_001_val_2	70.84791983651563	41.0	147.3890675849934	18.181818181818183	40564212.0
