category	count
utg324	31
utg464	29
utg125	28
utg77	24
utg116	23
utg542	23
utg109	21
utg225	21
utg597	21
utg479	20
utg1056	19
utg1271	19
utg298	19
utg4194	19
utg55	19
utg101	18
utg1272	17
utg163	17
utg192	17
utg207	17
utg92	17
utg1205	16
utg1846	16
utg52	16
utg622	16
utg625	16
utg78	16
utg126	15
utg243	15
utg3019	15
utg8851	15
utg1143	14
utg18	14
utg3090	14
utg334	14
utg420	14
utg4428	14
utg788	14
utg1101	13
utg2024	13
utg203	13
utg2071	13
utg2269	13
utg245	13
utg5950	13
utg910	13
utg1345	12
utg1910	12
utg1919	12
utg2129	12
utg3164	12
utg3199	12
utg3443	12
utg379	12
utg4271	12
utg435	12
utg4716	12
utg540	12
utg735	12
utg1022	11
utg144	11
utg1683	11
utg1694	11
utg1931	11
utg2073	11
utg234	11
utg2818	11
utg301	11
utg376	11
utg4613	11
utg580	11
utg616	11
utg6401	11
utg6459	11
utg7	11
utg777	11
utg82	11
utg861	11
utg1079	10
utg1137	10
utg1253	10
utg13	10
utg1395	10
utg14021	10
utg145	10
utg1663	10
utg17612	10
utg1825	10
utg190	10
utg214	10
utg31	10
utg382	10
utg3839	10
utg395	10
utg415	10
utg456	10
utg4879	10
utg536	10
utg5414	10
utg8494	10
utg1052	9
utg1278	9
utg1465	9
utg20813	9
utg2099	9
utg219	9
utg2487	9
utg262	9
utg2967	9
utg4	9
utg401	9
utg411	9
utg4265	9
utg470	9
utg505	9
utg589	9
utg62	9
utg6293	9
utg693	9
utg7145	9
utg736	9
utg7595	9
utg975	9
utg1032	8
utg1285	8
utg129	8
utg152	8
utg1765	8
utg178	8
utg2200	8
utg2246	8
utg27	8
utg276	8
utg344	8
utg370	8
utg372	8
utg389	8
utg4398	8
utg483	8
utg498	8
utg512	8
utg6373	8
utg648	8
utg695	8
utg7286	8
utg729	8
utg73	8
utg86	8
utg888	8
utg924	8
utg9313	8
utg9769	8
utg13322	7
utg13474	7
utg1381	7
utg14	7
utg150	7
utg15281	7
utg1609	7
utg1623	7
utg1708	7
utg172	7
utg1897	7
utg2083	7
utg2100	7
utg217	7
utg221	7
utg2291	7
utg2600	7
utg268	7
utg2757	7
utg2901	7
utg320	7
utg3284	7
utg356	7
utg4157	7
utg418	7
utg4455	7
utg4610	7
utg4695	7
utg494	7
utg4977	7
utg5294	7
utg535	7
utg594	7
utg6092	7
utg6806	7
utg686	7
utg738	7
utg7412	7
utg791	7
utg797	7
utg8726	7
utg8792	7
utg936	7
utg9602	7
utg993	7
utg10156	6
utg1091	6
utg1236	6
utg1256	6
utg12655	6
utg1358	6
utg1378	6
utg13959	6
utg14287	6
utg1432	6
utg14533	6
utg162	6
utg1648	6
utg167	6
utg1796	6
utg18927	6
utg1925	6
utg209	6
utg2159	6
utg2205	6
utg2303	6
utg2529	6
utg255	6
utg2601	6
utg279	6
utg28209	6
utg293	6
utg2932	6
utg2994	6
utg3041	6
utg30548	6
utg3158	6
utg31945	6
utg3292	6
utg338	6
utg3474	6
utg378	6
utg3872	6
utg3876	6
utg4082	6
utg4155	6
utg4187	6
utg436	6
utg441	6
utg4605	6
utg4652	6
utg501	6
utg5033	6
utg54	6
utg5662	6
utg577	6
utg579	6
utg5885	6
utg6078	6
utg6161	6
utg6423	6
utg6669	6
utg6843	6
utg696	6
utg699	6
utg7066	6
utg7289	6
utg734	6
utg750	6
utg790	6
utg890	6
utg10114	5
utg10321	5
utg1051	5
utg10541	5
utg107	5
utg11415	5
utg11497	5
utg1230	5
utg1249	5
utg146	5
utg14913	5
utg15813	5
utg16036	5
utg16443	5
utg16444	5
utg1691	5
utg1734	5
utg1781	5
utg1799	5
utg180	5
utg18028	5
utg18125	5
utg183	5
utg18506	5
utg18633	5
utg1900	5
utg1936	5
utg2007	5
utg20076	5
utg2123	5
utg2338	5
utg2343	5
utg2356	5
utg236	5
utg237	5
utg2379	5
utg2526	5
utg25321	5
utg27318	5
utg2733	5
utg280	5
utg2969	5
utg3155	5
utg3197	5
utg3467	5
utg34691	5
utg3605	5
utg3677	5
utg3753	5
utg381	5
utg38114	5
utg3884	5
utg3906	5
utg3913	5
utg432	5
utg4739	5
utg48	5
utg5	5
utg5059	5
utg5390	5
utg6070	5
utg72	5
utg7616	5
utg762	5
utg7680	5
utg855	5
utg858	5
utg9194	5
utg9623	5
utg967	5
utg10	4
utg1002	4
utg1005	4
utg104	4
utg10470	4
utg113	4
utg1204	4
utg12644	4
utg12897	4
utg13368	4
utg1337	4
utg1404	4
utg1455	4
utg14731	4
utg14923	4
utg1498	4
utg1517	4
utg1525	4
utg1565	4
utg1579	4
utg160	4
utg16030	4
utg16223	4
utg1645	4
utg1754	4
utg1819	4
utg1828	4
utg18686	4
utg1890	4
utg18932	4
utg1962	4
utg19673	4
utg20678	4
utg2097	4
utg2156	4
utg2216	4
utg2371	4
utg23803	4
utg2427	4
utg24929	4
utg259	4
utg2599	4
utg2674	4
utg2704	4
utg2779	4
utg2798	4
utg28077	4
utg286	4
utg29	4
utg29733	4
utg3022	4
utg3210	4
utg3260	4
utg3329	4
utg348	4
utg3487	4
utg359	4
utg3622	4
utg3642	4
utg3870	4
utg3878	4
utg388	4
utg405	4
utg410	4
utg4130	4
utg417	4
utg4177	4
utg4328	4
utg45299	4
utg4567	4
utg463	4
utg4665	4
utg4796	4
utg496	4
utg4972	4
utg5217	4
utg522	4
utg56	4
utg564	4
utg5652	4
utg567	4
utg5879	4
utg599	4
utg6035	4
utg61418	4
utg6183	4
utg637	4
utg6392	4
utg64	4
utg6432	4
utg7008	4
utg707	4
utg7127	4
utg7179	4
utg7522	4
utg7548	4
utg785	4
utg7950	4
utg8181	4
utg820	4
utg8262	4
utg8609	4
utg868	4
utg978	4
utg983	4
utg9875	4
utg1031	3
utg10358	3
utg10359	3
utg10588	3
utg112	3
utg1162	3
utg1177	3
utg11814	3
utg12030	3
utg12336	3
utg1234	3
utg1239	3
utg12551	3
utg1270	3
utg1290	3
utg12986	3
utg1302	3
utg1347	3
utg13597	3
utg1363	3
utg13793	3
utg1396	3
utg1398	3
utg13981	3
utg1403	3
utg15164	3
utg1555	3
utg15585	3
utg15629	3
utg1569	3
utg1575	3
utg15960	3
utg1684	3
utg17102	3
utg17293	3
utg173190	3
utg1748	3
utg1800	3
utg181	3
utg18118	3
utg18553	3
utg18650	3
utg1866	3
utg194	3
utg19590	3
utg1982	3
utg19866	3
utg2013	3
utg2017	3
utg20197	3
utg2155	3
utg21977	3
utg2299	3
utg2327	3
utg2353	3
utg23708	3
utg24438	3
utg2606	3
utg2614	3
utg26219	3
utg2682	3
utg27202	3
utg2801	3
utg300	3
utg302	3
utg309	3
utg31532	3
utg3174	3
utg3211	3
utg3222	3
utg3235	3
utg33128	3
utg332	3
utg3339	3
utg3380	3
utg33938	3
utg3403	3
utg34096	3
utg35	3
utg3522	3
utg3553	3
utg3669	3
utg3761	3
utg3787	3
utg3827	3
utg3834	3
utg386	3
utg3891	3
utg3986	3
utg402	3
utg40335	3
utg4046	3
utg4062	3
utg4172	3
utg4207	3
utg42119	3
utg43115	3
utg43451	3
utg4383	3
utg439	3
utg4451	3
utg4468	3
utg4737	3
utg4872	3
utg48808	3
utg4886	3
utg4922	3
utg5122	3
utg5246	3
utg5367	3
utg5370	3
utg5454	3
utg5578	3
utg55781	3
utg5854	3
utg59087	3
utg5960	3
utg600	3
utg607	3
utg6123	3
utg6379	3
utg659	3
utg6781	3
utg6821	3
utg684	3
utg6851	3
utg6875	3
utg6938	3
utg70613	3
utg715	3
utg7168	3
utg7217	3
utg7549	3
utg7596	3
utg761	3
utg7652	3
utg7769	3
utg7840	3
utg7931	3
utg801	3
utg817	3
utg844	3
utg84504	3
utg857	3
utg8672	3
utg882	3
utg8892	3
utg891	3
utg896	3
utg9023	3
utg911	3
utg9110	3
utg9284	3
utg9285	3
utg935	3
utg9603	3
utg989	3
utg9902	3
utg10041	2
utg1038	2
utg1049	2
utg1073	2
utg10933	2
utg10963	2
utg1127	2
utg113218	2
utg1140	2
utg11494	2
utg115298	2
utg11695	2
utg11763	2
utg1184	2
utg11905	2
utg1194	2
utg12230	2
utg12553	2
utg125632	2
utg12724	2
utg1281	2
utg13050	2
utg13091	2
utg13276	2
utg13496	2
utg14007	2
utg14160	2
utg14366	2
utg1468	2
utg14683	2
utg14902	2
utg15013	2
utg15014	2
utg15156	2
utg15197	2
utg15226	2
utg1530	2
utg1542	2
utg15427	2
utg15453	2
utg15578	2
utg15686	2
utg1594	2
utg16091	2
utg16180	2
utg16283	2
utg169038	2
utg17181	2
utg1721	2
utg17508	2
utg17588	2
utg17602	2
utg1786	2
utg17994	2
utg1818	2
utg18294	2
utg18409	2
utg1918	2
utg1972	2
utg1995	2
utg20090	2
utg2012	2
utg2018	2
utg2045	2
utg2070	2
utg20788	2
utg2108	2
utg2115	2
utg21228	2
utg213	2
utg21873	2
utg2201	2
utg2279	2
utg2298	2
utg23189	2
utg2350	2
utg2367	2
utg24075	2
utg2426	2
utg2428	2
utg2433	2
utg24706	2
utg25103	2
utg25311	2
utg25450	2
utg25769	2
utg2603	2
utg26120	2
utg26697	2
utg2672	2
utg2690	2
utg2716	2
utg27568	2
utg28015	2
utg2814	2
utg2838	2
utg2849	2
utg29536	2
utg30049	2
utg3013	2
utg30399	2
utg30470	2
utg30575	2
utg307	2
utg3093	2
utg31304	2
utg31363	2
utg31428	2
utg3159	2
utg3178	2
utg3201	2
utg32320	2
utg33038	2
utg33682	2
utg33757	2
utg34	2
utg3409	2
utg34135	2
utg3436	2
utg3447	2
utg347	2
utg3536	2
utg3550	2
utg364	2
utg36508	2
utg375	2
utg38078	2
utg3899	2
utg3980	2
utg4054	2
utg413	2
utg4163	2
utg42547	2
utg42902	2
utg431	2
utg4318	2
utg4321	2
utg4326	2
utg438	2
utg4502	2
utg45405	2
utg45540	2
utg4576	2
utg4604	2
utg4614	2
utg469	2
utg47	2
utg4709	2
utg4805	2
utg48491	2
utg4856	2
utg4898	2
utg49	2
utg49040	2
utg4907	2
utg5066	2
utg5073	2
utg5074	2
utg5157	2
utg5184	2
utg5290	2
utg530	2
utg532	2
utg544	2
utg54553	2
utg5456	2
utg559	2
utg560	2
utg56260	2
utg56960	2
utg572	2
utg5817	2
utg59616	2
utg5975	2
utg59939	2
utg5996	2
utg60048	2
utg6072	2
utg612	2
utg62950	2
utg6334	2
utg6534	2
utg6610	2
utg666	2
utg67002	2
utg67600	2
utg6792	2
utg6924	2
utg700	2
utg7042	2
utg7048	2
utg7090	2
utg710	2
utg7244	2
utg7264	2
utg7821	2
utg7855	2
utg7909	2
utg798	2
utg8	2
utg816	2
utg8497	2
utg8615	2
utg8674	2
utg8768	2
utg881	2
utg8820	2
utg902	2
utg912	2
utg9141	2
utg920	2
utg9202	2
utg9251	2
utg95	2
utg950	2
utg9561	2
utg9668	2
utg9762	2
utg10026	1
utg10069	1
utg10077	1
utg1009	1
utg10135	1
utg102448	1
utg10282	1
utg103034	1
utg10385	1
utg10477	1
utg10530	1
utg10608	1
utg10628	1
utg10709	1
utg10824	1
utg11096	1
utg1112	1
utg11123	1
utg111395	1
utg11219	1
utg1132	1
utg11341	1
utg114	1
utg11411	1
utg11599	1
utg117	1
utg11700	1
utg1172	1
utg1201	1
utg1221	1
utg12341	1
utg12382	1
utg1243	1
utg12476	1
utg1251	1
utg1257	1
utg1265	1
utg12688	1
utg1277	1
utg12875	1
utg12878	1
utg12889	1
utg12900	1
utg129201	1
utg12937	1
utg12968	1
utg1319	1
utg1330	1
utg13510	1
utg1355	1
utg13607	1
utg1372	1
utg13730	1
utg138951	1
utg139996	1
utg1416	1
utg14280	1
utg14412	1
utg1450	1
utg1452	1
utg14556	1
utg1459	1
utg1463	1
utg1464	1
utg1475	1
utg14892	1
utg1497	1
utg15210	1
utg15232	1
utg15244	1
utg152524	1
utg15522	1
utg15552	1
utg15556	1
utg1563	1
utg157399	1
utg1581	1
utg15832	1
utg15839	1
utg1588	1
utg15941	1
utg1596	1
utg159686	1
utg16027	1
utg16094	1
utg162231	1
utg16484	1
utg1654	1
utg1662	1
utg166658	1
utg16690	1
utg1686	1
utg1696	1
utg1698	1
utg17212	1
utg1724	1
utg17372	1
utg1745	1
utg174599	1
utg1746	1
utg17511	1
utg17555	1
utg17667	1
utg17809	1
utg18019	1
utg18036	1
utg18063	1
utg18228	1
utg18233	1
utg186	1
utg18622	1
utg18855	1
utg19074	1
utg1923	1
utg19356	1
utg19396	1
utg19545	1
utg19612	1
utg2016	1
utg20635	1
utg20679	1
utg20736	1
utg209609	1
utg21085	1
utg2110	1
utg21580	1
utg216	1
utg21766	1
utg2185	1
utg2196	1
utg21979	1
utg2255	1
utg22559	1
utg22669	1
utg22693	1
utg22722	1
utg22736	1
utg2274	1
utg23030	1
utg2323	1
utg23296	1
utg23582	1
utg2417	1
utg24611	1
utg24645	1
utg24783	1
utg2483	1
utg25070	1
utg25155	1
utg2521	1
utg25265	1
utg256	1
utg2581	1
utg25826	1
utg2585	1
utg25859	1
utg25862	1
utg26084	1
utg26337	1
utg26474	1
utg26572	1
utg2661	1
utg2667	1
utg2698	1
utg2713	1
utg27299	1
utg27676	1
utg27988	1
utg28028	1
utg2817	1
utg2858	1
utg2869	1
utg28737	1
utg288	1
utg2929	1
utg3092	1
utg31256	1
utg31272	1
utg3169	1
utg31822	1
utg32055	1
utg3220	1
utg32260	1
utg32484	1
utg32914	1
utg3295	1
utg32989	1
utg33235	1
utg33385	1
utg33589	1
utg33828	1
utg343339	1
utg34491	1
utg3452	1
utg34572	1
utg34597	1
utg3470	1
utg349	1
utg34917	1
utg3499	1
utg351	1
utg35117	1
utg35510	1
utg35893	1
utg35997	1
utg36040	1
utg36089	1
utg3609	1
utg363	1
utg36717	1
utg3678	1
utg3697	1
utg36986	1
utg377	1
utg3797	1
utg3799	1
utg3800	1
utg3803	1
utg38230	1
utg3871	1
utg38965	1
utg39725	1
utg39996	1
utg4049	1
utg407	1
utg40724	1
utg41344	1
utg4231	1
utg4273	1
utg4290	1
utg4341	1
utg4351	1
utg44408	1
utg4464	1
utg44757	1
utg4501	1
utg45865	1
utg4593	1
utg4607	1
utg4661	1
utg467	1
utg47361	1
utg477	1
utg4901	1
utg5068	1
utg5087	1
utg514	1
utg52295	1
utg53173	1
utg53212	1
utg5421	1
utg54229	1
utg54636	1
utg549	1
utg5513	1
utg5557	1
utg55667	1
utg5696	1
utg57	1
utg5716	1
utg5774	1
utg590	1
utg59213	1
utg5980	1
utg5985	1
utg60619	1
utg61244	1
utg6155	1
utg6220	1
utg6272	1
utg628	1
utg6430	1
utg6446	1
utg6477	1
utg6504	1
utg6551	1
utg6677	1
utg67486	1
utg6829	1
utg6834	1
utg6949	1
utg6958	1
utg6959	1
utg69632	1
utg6976	1
utg7053	1
utg708	1
utg7083	1
utg709	1
utg714	1
utg7143	1
utg7149	1
utg7273	1
utg7343	1
utg7403	1
utg74575	1
utg7661	1
utg7847	1
utg7977	1
utg800	1
utg80148	1
utg804	1
utg8152	1
utg8316	1
utg8357	1
