category	count
utg62	10
utg55	6
utg116	5
utg2303	5
utg597	5
utg607	5
utg92	5
utg10470	4
utg1609	4
utg1708	4
utg180	4
utg1846	4
utg1972	4
utg219	4
utg2798	4
utg280	4
utg3365	4
utg338	4
utg3380	4
utg379	4
utg415	4
utg512	4
utg5290	4
utg622	4
utg729	4
utg750	4
utg77	4
utg777	4
utg798	4
utg1005	3
utg101	3
utg10541	3
utg1056	3
utg1087	3
utg12986	3
utg1337	3
utg14	3
utg1565	3
utg1663	3
utg172	3
utg1781	3
utg1910	3
utg2017	3
utg207	3
utg2099	3
utg2129	3
utg234	3
utg2757	3
utg302	3
utg3041	3
utg3092	3
utg3174	3
utg356	3
utg4	3
utg4157	3
utg4177	3
utg418	3
utg435	3
utg4576	3
utg470	3
utg479	3
utg4972	3
utg498	3
utg52	3
utg612	3
utg715	3
utg78	3
utg790	3
utg8	3
utg868	3
utg924	3
utg9251	3
utg9313	3
utg989	3
utg1025	2
utg10628	2
utg107	2
utg109	2
utg1194	2
utg1204	2
utg1226	2
utg1234	2
utg125	2
utg12553	2
utg126	2
utg12655	2
utg1272	2
utg1281	2
utg129	2
utg1404	2
utg15013	2
utg15164	2
utg1517	2
utg152	2
utg1530	2
utg16283	2
utg17212	2
utg1724	2
utg1819	2
utg18294	2
utg18553	2
utg1919	2
utg1931	2
utg2007	2
utg20736	2
utg2100	2
utg21228	2
utg214	2
utg217	2
utg21766	2
utg2350	2
utg237	2
utg2417	2
utg2428	2
utg2521	2
utg259	2
utg262	2
utg27	2
utg276	2
utg28028	2
utg2967	2
utg298	2
utg3019	2
utg320	2
utg3201	2
utg343339	2
utg3452	2
utg370	2
utg3753	2
utg378	2
utg386	2
utg3878	2
utg3884	2
utg3891	2
utg3980	2
utg401	2
utg402	2
utg405	2
utg408	2
utg413	2
utg4155	2
utg4455	2
utg4501	2
utg467	2
utg4856	2
utg4907	2
utg496	2
utg526	2
utg535	2
utg5390	2
utg560	2
utg5885	2
utg594	2
utg5950	2
utg599	2
utg6035	2
utg64	2
utg6504	2
utg666	2
utg6958	2
utg6976	2
utg699	2
utg7048	2
utg7145	2
utg72	2
utg73	2
utg736	2
utg7595	2
utg761	2
utg857	2
utg86	2
utg861	2
utg896	2
utg910	2
utg9110	2
utg10	1
utg1031	1
utg1032	1
utg10321	1
utg10359	1
utg104	1
utg1049	1
utg1051	1
utg1052	1
utg10530	1
utg10588	1
utg1091	1
utg1102	1
utg1137	1
utg1138	1
utg11415	1
utg11618	1
utg1162	1
utg11700	1
utg11814	1
utg1192	1
utg1201	1
utg1239	1
utg1243	1
utg1257	1
utg1278	1
utg1285	1
utg12975	1
utg13	1
utg13091	1
utg13320	1
utg1354	1
utg1355	1
utg1378	1
utg1396	1
utg1398	1
utg146	1
utg1463	1
utg14703	1
utg1475	1
utg1497	1
utg150	1
utg15211	1
utg15244	1
utg15453	1
utg15506	1
utg1555	1
utg15585	1
utg1571	1
utg1575	1
utg1581	1
utg1588	1
utg160	1
utg1623	1
utg1629	1
utg16443	1
utg1648	1
utg1696	1
utg1698	1
utg170	1
utg1721	1
utg17511	1
utg1754	1
utg1765	1
utg1786	1
utg181	1
utg18125	1
utg1866	1
utg18726	1
utg190	1
utg1900	1
utg19074	1
utg1918	1
utg1923	1
utg19396	1
utg194	1
utg19866	1
utg203	1
utg20618	1
utg2083	1
utg2108	1
utg2111	1
utg2123	1
utg2156	1
utg216	1
utg2200	1
utg2205	1
utg22299	1
utg225	1
utg2255	1
utg22693	1
utg2298	1
utg2353	1
utg236	1
utg2411	1
utg243	1
utg24316	1
utg2433	1
utg24357	1
utg2483	1
utg256	1
utg2581	1
utg2667	1
utg2674	1
utg2682	1
utg27318	1
utg2801	1
utg2814	1
utg2818	1
utg2858	1
utg2929	1
utg293	1
utg301	1
utg3013	1
utg307	1
utg30804	1
utg30988	1
utg3117	1
utg31256	1
utg3164	1
utg3181	1
utg3235	1
utg3260	1
utg3283	1
utg334	1
utg34	1
utg344	1
utg34639	1
utg3470	1
utg35	1
utg3605	1
utg364	1
utg372	1
utg376	1
utg3797	1
utg382	1
utg3834	1
utg3839	1
utg3872	1
utg389	1
utg3906	1
utg3913	1
utg40621	1
utg411	1
utg4172	1
utg4194	1
utg4202	1
utg4231	1
utg4318	1
utg432	1
utg4327	1
utg436	1
utg438	1
utg43821	1
utg4464	1
utg45540	1
utg456	1
utg4605	1
utg4610	1
utg4661	1
utg4665	1
