#                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
evm.utg301.114                 -            272 354829at33208        -            286   9.5e-44  151.6   0.1   1   1   3.4e-47   1.2e-43  151.2   0.1    31   225    30   231    22   249 0.85 -
evm.utg2298.42                 -            174 354829at33208        -            286     1e-40  141.6   0.3   1   2   5.6e-28   2.1e-24   88.1   0.2     7    63    22    82     9    83 0.89 -
evm.utg2298.42                 -            174 354829at33208        -            286     1e-40  141.6   0.3   2   2     9e-18   3.3e-14   54.6   0.0   101   191    81   172    81   173 0.83 -
evm.utg301.114.1.5c22eea8      -            225 354829at33208        -            286   2.5e-40  140.4   0.1   1   1   8.8e-44   3.3e-40  140.0   0.1    31   211    30   217    21   221 0.84 -
evm.utg301.114.2.5c22eea8      -            221 354829at33208        -            286   1.7e-35  124.5   0.1   1   1   5.4e-39     2e-35  124.2   0.1    53   225     1   180     1   198 0.83 -
utg378.equina_smart_6079.mrna1 -            281 354829at33208        -            286   1.4e-13   52.6   0.0   1   1   6.1e-17   2.3e-13   51.9   0.0    31   178    17   171     7   192 0.79 -
evm.utg1396.2                  -             76 354829at33208        -            286   1.6e-13   52.4   1.3   1   1     8e-17     3e-13   51.5   1.3   233   286     2    66     1    66 0.82 -
evm.utg2298.40                 -            181 354829at33208        -            286   6.5e-08   34.0   0.1   1   1   2.5e-11   9.3e-08   33.5   0.1   250   285    24    60     3    61 0.83 -
evm.utg10868.2                 -            327 354829at33208        -            286   9.1e-06   26.9   0.2   1   2   5.7e-09   2.1e-05   25.7   0.0    38   146    16   127     6   133 0.77 -
evm.utg10868.2                 -            327 354829at33208        -            286   9.1e-06   26.9   0.2   2   2         2   7.5e+03   -2.3   0.2   230   241   282   293   231   318 0.54 -
evm.utg1498.3                  -            325 354829at33208        -            286   9.2e-06   26.9   0.0   1   1   5.7e-09   2.1e-05   25.7   0.0    38   146    16   127     6   133 0.77 -
evm.utg55.75                   -            586 354829at33208        -            286    0.0019   19.3   0.0   1   1   7.6e-07    0.0028   18.8   0.0   104   183   426   510   355   525 0.70 -
evm.utg55.75.1.5c22f227        -            610 354829at33208        -            286    0.0021   19.2   0.0   1   1   8.2e-07     0.003   18.7   0.0   104   183   450   534   379   549 0.70 -
evm.utg2601.79                 -            681 354829at33208        -            286     0.017   16.2   0.1   1   2         3   1.1e+04   -2.9   0.0    17    37     5    26     3    38 0.79 -
evm.utg2601.79                 -            681 354829at33208        -            286     0.017   16.2   0.1   2   2   1.6e-05     0.061   14.4   0.1   107   149   574   620   559   646 0.80 -
evm.utg3284.72                 -            811 354829at33208        -            286     0.024   15.7   0.3   1   2       5.5     2e+04   -3.7   0.0    16    32   170   186   165   193 0.79 -
evm.utg3284.72                 -            811 354829at33208        -            286     0.024   15.7   0.3   2   2   1.6e-05     0.058   14.4   0.1   107   149   656   702   641   734 0.80 -
evm.utg868.93                  -            433 354829at33208        -            286     0.028   15.5   0.4   1   2       1.8   6.6e+03   -2.1   0.0   202   262    35    91    33   109 0.71 -
evm.utg868.93                  -            433 354829at33208        -            286     0.028   15.5   0.4   2   2   1.9e-05     0.069   14.2   0.1   108   147   334   373   328   387 0.92 -
evm.utg46481.2                 -            299 354829at33208        -            286      0.11   13.6   0.1   1   1   2.8e-05      0.11   13.6   0.1   108   147   192   231   185   244 0.92 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /uoa/scratch/users/r02hw22/project_dark_genes/busco_downloads/lineages/metazoa_odb10/hmms/354829at33208.hmm
# Target file:     /uoa/scratch/users/r02hw22/project_dark_genes/00_raw/equina_smart.rnam-trna.merged.ggf.curated.remredun.aa.fa
# Option settings: hmmsearch --domtblout /uoa/scratch/users/r02hw22/project_dark_genes/equina_busco_proteins/run_metazoa_odb10/hmmer_output/initial_run_results/354829at33208.out --cpu 1 /uoa/scratch/users/r02hw22/project_dark_genes/busco_downloads/lineages/metazoa_odb10/hmms/354829at33208.hmm /uoa/scratch/users/r02hw22/project_dark_genes/00_raw/equina_smart.rnam-trna.merged.ggf.curated.remredun.aa.fa 
# Current dir:     /uoa/scratch/users/r02hw22/project_dark_genes
# Date:            Sat Apr 25 14:41:13 2026
# [ok]
