contig	duplicated_BUSCO_unique_ids	duplicated_BUSCO_records	duplicated_BUSCO_ids	duplicated_BUSCO_region_span	on_BUSCO_duplication_rich_scaffold	BUSCO_duplication_scaffold_threshold
utg10	1	1	608190at33208	utg10:5566-24377	no	3
utg1005	3	4	261614at33208;462897at33208;76852at33208	utg1005:97352-375698	yes	3
utg101	3	5	284059at33208;5951at33208;604211at33208	utg101:187963-1476120	yes	3
utg1025	2	2	102804at33208;227979at33208	utg1025:21127-243087	no	3
utg1031	1	2	510174at33208	utg1031:48276-209083	no	3
utg1032	1	2	517686at33208	utg1032:75581-83627	no	3
utg10321	1	1	595010at33208	utg10321:14704-32902	no	3
utg10359	1	1	391896at33208	utg10359:3360-4882	no	3
utg104	1	1	434863at33208	utg104:4239-5009	no	3
utg10470	4	5	360753at33208;400042at33208;409186at33208;532930at33208	utg10470:7971-96637	yes	3
utg1049	1	1	108764at33208	utg1049:137-475	no	3
utg1051	1	1	429011at33208	utg1051:560232-564351	no	3
utg1052	1	2	367551at33208	utg1052:274790-290148	no	3
utg10530	1	1	345099at33208	utg10530:55473-70624	no	3
utg10541	3	3	289928at33208;569303at33208;590416at33208	utg10541:522-186263	yes	3
utg1056	3	5	255242at33208;324249at33208;529852at33208	utg1056:34476-982897	yes	3
utg10588	1	1	526487at33208	utg10588:421-10148	no	3
utg10628	2	2	223234at33208;515377at33208	utg10628:1131-11668	no	3
utg107	2	2	450643at33208;470523at33208	utg107:3288-11221	no	3
utg1087	3	8	378316at33208;612760at33208;88053at33208	utg1087:2201-328709	yes	3
utg109	2	2	192250at33208;644034at33208	utg109:20437-33883	no	3
utg1091	1	2	568949at33208	utg1091:4746-186603	no	3
utg1102	1	1	510174at33208	utg1102:140250-149175	no	3
utg1137	1	1	495100at33208	utg1137:8157-8763	no	3
utg1138	1	1	440493at33208	utg1138:1522-3229	no	3
utg11415	1	2	556925at33208	utg11415:263-320501	no	3
utg116	5	7	168850at33208;176247at33208;489858at33208;516716at33208;525542at33208	utg116:4141-2637107	yes	3
utg11618	1	1	628082at33208	utg11618:99308-101008	no	3
utg1162	1	1	189414at33208	utg1162:8390-9250	no	3
utg11700	1	1	166097at33208	utg11700:65082-71903	no	3
utg11814	1	2	406927at33208	utg11814:73033-76714	no	3
utg1192	1	1	249486at33208	utg1192:1002-1962	no	3
utg1194	2	4	563358at33208;580896at33208	utg1194:8497-155201	no	3
utg1201	1	1	152977at33208	utg1201:372-20065	no	3
utg1204	2	3	336647at33208;365323at33208	utg1204:3093-500575	no	3
utg1226	2	2	602148at33208;615531at33208	utg1226:3140-12750	no	3
utg1234	2	2	608869at33208;617020at33208	utg1234:67725-156586	no	3
utg1239	1	1	495389at33208	utg1239:182785-183646	no	3
utg1243	1	1	631107at33208	utg1243:9960-14163	no	3
utg125	2	3	334342at33208;633619at33208	utg125:234961-1665899	no	3
utg12553	2	3	261284at33208;551632at33208	utg12553:5666-49735	no	3
utg1257	1	1	353768at33208	utg1257:21015-23122	no	3
utg126	2	4	486431at33208;582265at33208	utg126:1112-1200798	no	3
utg12655	2	3	357580at33208;561943at33208	utg12655:193514-308585	no	3
utg1272	2	5	424646at33208;466616at33208	utg1272:1387-304101	no	3
utg1278	1	1	461193at33208	utg1278:491279-496925	no	3
utg1281	2	2	464286at33208;571149at33208	utg1281:616-1032	no	3
utg1285	1	2	436539at33208	utg1285:268930-273351	no	3
utg129	2	3	393895at33208;401220at33208	utg129:815-521525	no	3
utg12975	1	1	622156at33208	utg12975:47990-50289	no	3
utg12986	3	3	218441at33208;268397at33208;99614at33208	utg12986:478-480883	yes	3
utg13	1	1	608190at33208	utg13:3480-4570	no	3
utg13091	1	2	247183at33208	utg13091:110466-150700	no	3
utg13320	1	1	547099at33208	utg13320:9485-15707	no	3
utg1337	3	4	119591at33208;194754at33208;527406at33208	utg1337:55671-204470	yes	3
utg1354	1	1	285902at33208	utg1354:24-6649	no	3
utg1355	1	2	378768at33208	utg1355:1362-144037	no	3
utg1378	1	2	501788at33208	utg1378:133708-142558	no	3
utg1396	1	1	505248at33208	utg1396:61422-65564	no	3
utg1398	1	1	99614at33208	utg1398:2537-3343	no	3
utg14	3	3	433216at33208;446000at33208;618421at33208	utg14:1411-176284	yes	3
utg1404	2	3	286553at33208;395556at33208	utg1404:12754-177316	no	3
utg146	1	2	587958at33208	utg146:19897-33393	no	3
utg1463	1	1	419502at33208	utg1463:260126-264076	no	3
utg14703	1	1	517525at33208	utg14703:53543-62581	no	3
utg1475	1	1	353286at33208	utg1475:3454-11902	no	3
utg1497	1	1	442823at33208	utg1497:96724-112383	no	3
utg150	1	2	600823at33208	utg150:322349-325290	no	3
utg15013	2	3	397019at33208;628082at33208	utg15013:7989-285849	no	3
utg15164	2	2	312577at33208;428754at33208	utg15164:571-358889	no	3
utg1517	2	2	502691at33208;606539at33208	utg1517:321-1684	no	3
utg152	2	3	334331at33208;445091at33208	utg152:563048-583326	no	3
utg15211	1	2	352854at33208	utg15211:52351-78070	no	3
utg15244	1	1	539600at33208	utg15244:12723-15947	no	3
utg1530	2	2	518569at33208;564234at33208	utg1530:4005-6845	no	3
utg15453	1	1	336647at33208	utg15453:15640-29425	no	3
utg15506	1	1	580062at33208	utg15506:212036-217590	no	3
utg1555	1	1	587399at33208	utg1555:648-914	no	3
utg15585	1	1	535650at33208	utg15585:988-10651	no	3
utg1565	3	7	364694at33208;469367at33208;586310at33208	utg1565:3122-561463	yes	3
utg1571	1	2	227453at33208	utg1571:136925-143954	no	3
utg1575	1	1	566527at33208	utg1575:38344-41325	no	3
utg1581	1	1	587407at33208	utg1581:2106-6655	no	3
utg1588	1	4	271742at33208	utg1588:10-66909	no	3
utg160	1	2	555538at33208	utg160:1693-147906	no	3
utg1609	4	6	500261at33208;522988at33208;587513at33208;637971at33208	utg1609:4575-743294	yes	3
utg1623	1	1	372707at33208	utg1623:23134-23520	no	3
utg16283	2	2	266469at33208;495311at33208	utg16283:21056-32051	no	3
utg1629	1	2	158845at33208	utg1629:151480-164276	no	3
utg16443	1	2	427789at33208	utg16443:13312-21880	no	3
utg1648	1	1	421732at33208	utg1648:9594-24618	no	3
utg1663	3	7	210614at33208;331112at33208;411755at33208	utg1663:71718-492650	yes	3
utg1696	1	1	285902at33208	utg1696:120433-125484	no	3
utg1698	1	1	559576at33208	utg1698:20525-24431	no	3
utg170	1	1	158962at33208	utg170:277967-282738	no	3
utg1708	4	4	364383at33208;496219at33208;521343at33208;530431at33208	utg1708:435-63295	yes	3
utg172	3	6	383313at33208;432287at33208;514724at33208	utg172:593007-930856	yes	3
utg1721	1	1	488559at33208	utg1721:6331-8579	no	3
utg17212	2	2	139188at33208;471787at33208	utg17212:497-77549	no	3
utg1724	2	2	554815at33208;602587at33208	utg1724:617-10253	no	3
utg17511	1	1	603609at33208	utg17511:56827-61484	no	3
utg1754	1	1	618339at33208	utg1754:16783-17846	no	3
utg1765	1	2	573313at33208	utg1765:779-96204	no	3
utg1781	3	3	302921at33208;367493at33208;603673at33208	utg1781:14399-156701	yes	3
utg1786	1	1	372707at33208	utg1786:367157-377152	no	3
utg180	4	4	387079at33208;563084at33208;573237at33208;636041at33208	utg180:1171-846024	yes	3
utg181	1	1	548732at33208	utg181:4655-5011	no	3
utg18125	1	1	111746at33208	utg18125:7264-8494	no	3
utg1819	2	2	491252at33208;549156at33208	utg1819:9644-13742	no	3
utg18294	2	2	255242at33208;554010at33208	utg18294:24-178	no	3
utg1846	4	7	118209at33208;135294at33208;332870at33208;568022at33208	utg1846:9472-836607	yes	3
utg18553	2	2	235430at33208;623324at33208	utg18553:15283-21082	no	3
utg1866	1	1	547341at33208	utg1866:173116-180705	no	3
utg18726	1	1	84980at33208	utg18726:200773-219631	no	3
