evm.utg4.3	sp|O42412|IOD3_CHICK	43.6	165	91	2	78	241	79	242	2.15e-39	140
evm.utg4.4	sp|O42412|IOD3_CHICK	45.0	191	101	2	59	248	60	247	5.77e-48	162
evm.utg4.7	sp|Q5RF50|VKGC_PONAB	51.0	567	239	8	1	562	75	607	5.46e-195	573
evm.utg4.8	sp|Q01664|TFAP4_HUMAN	54.0	174	52	4	30	203	38	183	1.38e-37	138
evm.utg4.9	sp|Q6GN21|N2C1A_XENLA	33.5	475	197	8	45	405	152	621	6.12e-71	238
evm.utg4.11	sp|A8MY62|BLML_HUMAN	27.9	580	324	15	32	565	26	557	2.65e-50	186
evm.utg4.12	sp|E0CZ16|KLHL3_MOUSE	29.2	325	222	3	25	348	41	358	6.46e-40	157
evm.utg4.15	sp|A7YY46|PNKD_BOVIN	50.3	300	149	0	32	331	80	379	2.74e-99	301
evm.utg4.15.1.5c22f047	sp|A7YY46|PNKD_BOVIN	50.3	300	149	0	15	314	80	379	2.11e-99	300
evm.utg4.16	sp|Q96G03|PGM2_HUMAN	52.3	602	271	4	13	599	12	612	8.46e-214	611
evm.utg4.18	sp|Q8WWN8|ARAP3_HUMAN	25.6	1077	648	29	525	1488	291	1327	1.25e-75	281
evm.utg4.18.1.5c22f04a	sp|Q8WWN8|ARAP3_HUMAN	25.7	1072	644	29	525	1483	291	1322	8.45e-75	279
evm.utg4.19	sp|O95164|UBL3_HUMAN	70.8	113	33	0	12	124	5	117	2.13e-54	169
evm.utg4.20	sp|Q9R0M6|RAB9A_MOUSE	63.6	206	70	2	1	206	1	201	7.71e-92	270
evm.utg4.21	sp|Q95114|MFGM_BOVIN	32.8	329	190	13	176	481	106	426	4.89e-38	150
evm.utg4.23	sp|Q91X58|ZFN2B_MOUSE	64.4	87	31	0	1	87	23	109	1.93e-35	126
evm.utg4.31	sp|Q5TBK1|N42L1_HUMAN	56.1	148	61	2	257	400	39	186	1.98e-43	161
evm.utg4.31.1.5c22f04a	sp|Q5TBK1|N42L1_HUMAN	56.1	148	61	2	257	400	39	186	1.36e-43	161
evm.utg4.34	sp|P52486|UBCD4_DROME	65.8	199	68	0	1	199	1	199	1.68e-96	281
evm.utg4.34.1.5c22f04a	sp|P52486|UBCD4_DROME	73.5	155	41	0	1	155	1	155	6.00e-83	245
evm.utg4.34.1.5c22f04a.1.5c27949c	sp|P52486|UBCD4_DROME	78.1	114	25	0	1	114	1	114	2.48e-62	191
evm.utg4.35	sp|Q06265|EXOS9_HUMAN	50.0	400	185	5	11	397	9	406	7.12e-120	359
evm.utg4.37	sp|Q7Y0E8|NRX11_ORYSJ	39.7	116	64	3	9	123	20	130	4.66e-22	94.4
