mrna_id	protein_length
evm.utg4.1	76
evm.utg4.3	259
evm.utg4.4	254
evm.utg4.5	76
evm.utg4.6	132
evm.utg4.7	705
evm.utg4.8	267
evm.utg4.9	411
evm.utg4.10	345
evm.utg4.11	596
evm.utg4.12	584
evm.utg4.13	378
evm.utg4.14	856
evm.utg4.15	335
evm.utg4.15.1.5c22f047	318
evm.utg4.16	599
evm.utg4.17	507
evm.utg4.18	1546
evm.utg4.18.1.5c22f04a	1534
evm.utg4.19	125
evm.utg4.20	207
utg4.equina_smart_817336.mrna2	70
evm.utg4.21	816
evm.utg4.22	333
evm.utg4.23	159
evm.utg4.24	202
evm.utg4.25	114
evm.utg4.26	254
evm.utg4.27	235
evm.utg4.31	1131
evm.utg4.31.1.5c22f04a	894
evm.utg4.28	114
evm.utg4.29	121
evm.utg4.30	129
evm.utg4.32	321
evm.utg4.33	215
evm.utg4.34	203
evm.utg4.34.1.5c22f04a	159
evm.utg4.34.1.5c22f04a.1.5c27949c	120
evm.utg4.35	441
evm.utg4.36	516
evm.utg4.37	148
evm.utg4.38	675
evm.utg4.39	586
evm.utg4.40	551
evm.utg4.41	626
evm.utg4.42	81
evm.utg4.43	1359
evm.utg4.44	427
evm.utg4.45	202
evm.utg4.45.1.5c22f04b	191
evm.utg4.46	1044
evm.utg4.47	307
evm.utg4.48	510
evm.utg4.48.1.5c22f048	457
evm.utg4.49	70
evm.utg4.50	531
evm.utg4.51	513
evm.utg4.52	255
evm.utg4.53.1.5c22f048	853
evm.utg4.53	1123
evm.utg4.53.1.5c22f048.1.5c27949a	982
evm.utg4.54	914
evm.utg4.55	152
evm.utg4.56	102
evm.utg4.57	101
evm.utg4.59	203
evm.utg4.61	499
evm.utg4.62	538
evm.utg4.63	696
evm.utg4.64	138
evm.utg4.65	182
evm.utg4.66	4836
evm.utg4.66.1.5c22f049	4234
evm.utg4.67	162
utg4.equina_smart_1391783.mrna1	188
evm.utg4.68	338
evm.utg4.69	599
utg4.equina_smart_49562.mrna1	35
evm.utg4.70	74
evm.utg4.71	80
evm.utg4.72	455
evm.utg4.73	407
evm.utg4.74	635
evm.utg4.75	226
utg4.equina_smart_90937.mrna3	156
evm.utg4.76	238
evm.utg4.77	321
evm.utg4.78	99
evm.utg4.79	364
evm.utg4.80	111
evm.utg4.81	195
evm.utg4.83	343
evm.utg4.82	182
evm.utg4.84	572
evm.utg4.85	730
evm.utg4.86	116
evm.utg4.87	284
evm.utg4.88	254
evm.utg5.1	316
evm.utg5.2	131
evm.utg5.3	373
evm.utg5.4	406
evm.utg5.5	105
evm.utg5.6	457
evm.utg5.7	139
evm.utg5.8	151
evm.utg5.9	1070
evm.utg5.10	115
evm.utg5.11	231
evm.utg5.12	479
evm.utg5.13	87
evm.utg5.14	190
evm.utg5.15	189
evm.utg5.16	267
evm.utg5.17	248
evm.utg5.18	212
evm.utg5.19	178
evm.utg5.20	448
evm.utg5.21	422
evm.utg5.22	118
evm.utg5.23	157
evm.utg5.24	165
evm.utg5.25	198
evm.utg5.26	181
evm.utg5.27	208
evm.utg5.28	382
evm.utg5.29	664
evm.utg5.30	221
evm.utg5.31	484
evm.utg5.32	96
evm.utg5.33	147
evm.utg5.34	85
evm.utg5.35	130
evm.utg5.36	414
evm.utg5.37	284
evm.utg5.38	102
evm.utg5.39	211
evm.utg5.40	888
evm.utg5.41	392
evm.utg5.42	177
evm.utg5.43	290
evm.utg5.44	217
evm.utg5.45	174
evm.utg5.46	142
evm.utg5.47	409
evm.utg5.48	287
evm.utg5.49	146
evm.utg5.50	725
evm.utg5.51	107
evm.utg5.52	437
evm.utg5.53	243
evm.utg5.54	356
evm.utg5.54.1.5c22f190	304
utg5.evm.utg2716.12.mrna6	83
evm.utg5.55	647
evm.utg5.55.1.5c22f190	508
evm.utg5.56	256
utg5.equina_smart_1391812.mrna1	64
evm.utg5.57	517
evm.utg5.57.1.5c22f190	477
evm.utg5.58	172
evm.utg5.59	328
evm.utg5.60	584
evm.utg5.61	98
evm.utg5.62	244
evm.utg5.63	342
evm.utg5.64	66
evm.utg5.65	198
evm.utg5.66	446
