#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
evm.utg77.108               -            207 596973at33208        -            181   1.8e-50  172.7  32.8   1   2   1.8e-50   4.1e-47  161.8   1.9    16   145     7   144     1   148 0.85 -
evm.utg77.108               -            207 596973at33208        -            181   1.8e-50  172.7  32.8   2   2   6.5e-06     0.015   16.6  23.4   141   178   159   194   154   197 0.68 -
evm.utg24316.2              -            207 596973at33208        -            181     7e-50  170.8  33.0   1   2   6.7e-50   1.5e-46  159.9   2.0    16   145     7   144     1   148 0.84 -
evm.utg24316.2              -            207 596973at33208        -            181     7e-50  170.8  33.0   2   2   6.5e-06     0.015   16.6  23.4   141   178   159   194   154   197 0.68 -
evm.utg24316.2.1.5c279261   -            156 596973at33208        -            181   4.8e-47  161.6   2.0   1   1   2.5e-50   5.9e-47  161.3   2.0    16   145     7   144     1   148 0.84 -
evm.utg14533.28             -            104 596973at33208        -            181     0.003   18.9  18.9   1   1   1.4e-06    0.0032   18.8  18.9   122   177    47   101    11   103 0.64 -
utg82.evm.utg14533.28.mrna2 -             98 596973at33208        -            181      0.01   17.1  17.4   1   1   4.5e-06      0.01   17.1  17.4   126   171    51    95    11    97 0.50 -
evm.utg6551.15.2.5c22f320   -            807 596973at33208        -            181     0.033   15.5   0.3   1   1   3.3e-05     0.077   14.3   0.3    98   174   579   651   569   657 0.68 -
evm.utg3174.25              -            411 596973at33208        -            181     0.035   15.4   0.6   1   1   2.5e-05     0.058   14.7   0.6     5    89   305   389   301   405 0.86 -
evm.utg6551.15              -           1101 596973at33208        -            181     0.051   14.8   0.3   1   1   4.9e-05      0.11   13.7   0.3    98   174   873   945   863   951 0.68 -
evm.utg18855.5              -           1075 596973at33208        -            181     0.055   14.7   0.3   1   1   4.8e-05      0.11   13.7   0.3    98   174   847   919   837   925 0.68 -
evm.utg544.31               -            185 596973at33208        -            181     0.058   14.7   5.6   1   1   3.3e-05     0.076   14.3   5.6   107   167    24    84     5    96 0.62 -
evm.utg3605.46              -             75 596973at33208        -            181     0.069   14.4   5.3   1   1     3e-05      0.07   14.4   5.3   112   163    23    72     7    74 0.68 -
evm.utg3827.29              -             96 596973at33208        -            181     0.076   14.3   2.3   1   1     4e-05     0.093   14.0   2.3   116   163    24    70    18    81 0.81 -
evm.utg408.46               -             87 596973at33208        -            181      0.11   13.8  29.8   1   1   5.2e-05      0.12   13.6  29.8   129   174    31    75     8    82 0.49 -
evm.utg1897.30              -            314 596973at33208        -            181      0.23   12.7  20.6   1   1   0.00014      0.33   12.2  20.6   117   174   252   308   212   313 0.61 -
evm.utg338.98               -            392 596973at33208        -            181      0.32   12.2  12.2   1   1   0.00022      0.51   11.6  12.2   148   180   307   339   256   342 0.74 -
evm.utg14.54                -            124 596973at33208        -            181       1.6   10.0  30.5   1   1   0.00081       1.9    9.7  30.5   112   174    61   122    47   123 0.61 -
evm.utg293.16               -            115 596973at33208        -            181       2.1    9.6  24.2   1   1    0.0012       2.7    9.2  24.2   115   176    49   108    38   112 0.69 -
evm.utg2338.18              -            147 596973at33208        -            181       2.5    9.4  37.3   1   1    0.0014       3.1    9.0  37.3   124   176    80   128    59   137 0.51 -
evm.utg924.42               -             70 596973at33208        -            181       2.5    9.3  33.4   1   1    0.0013       2.9    9.1  33.4   123   171    15    58     7    67 0.49 -
evm.utg1754.55              -            364 596973at33208        -            181       3.5    8.9  29.9   1   1    0.0023       5.4    8.2  29.9   117   175   261   318   249   324 0.49 -
evm.utg5073.4               -             97 596973at33208        -            181         4    8.7  16.8   1   1    0.0022       5.2    8.3  16.8   126   177    33    81    16    87 0.47 -
evm.utg90743.1              -             84 596973at33208        -            181       4.3    8.6  25.4   1   1    0.0022       5.1    8.3  25.4   129   159    12    42     3    66 0.51 -
evm.utg1931.84              -             75 596973at33208        -            181       5.8    8.1  20.6   1   1     0.003       6.9    7.9  20.6   123   171    16    64     7    71 0.51 -
evm.utg7289.28              -            115 596973at33208        -            181       7.3    7.8  22.1   1   1    0.0043       9.9    7.4  22.1   122   178    43    96    34   101 0.66 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /uoa/scratch/users/r02hw22/project_dark_genes/busco_downloads/lineages/metazoa_odb10/hmms/596973at33208.hmm
# Target file:     /uoa/scratch/users/r02hw22/project_dark_genes/00_raw/equina_smart.rnam-trna.merged.ggf.curated.remredun.aa.fa
# Option settings: hmmsearch --domtblout /uoa/scratch/users/r02hw22/project_dark_genes/equina_busco_proteins/run_metazoa_odb10/hmmer_output/initial_run_results/596973at33208.out --cpu 1 /uoa/scratch/users/r02hw22/project_dark_genes/busco_downloads/lineages/metazoa_odb10/hmms/596973at33208.hmm /uoa/scratch/users/r02hw22/project_dark_genes/00_raw/equina_smart.rnam-trna.merged.ggf.curated.remredun.aa.fa 
# Current dir:     /uoa/scratch/users/r02hw22/project_dark_genes
# Date:            Sat Apr 25 14:43:06 2026
# [ok]
