gene_id	isoform_count	mrna_ids
evm.TU.utg10.1	1	evm.utg10.1
evm.TU.utg10.10	1	evm.utg10.10
evm.TU.utg10.11	1	evm.utg10.11
evm.TU.utg10.12	1	evm.utg10.12
evm.TU.utg10.13	1	evm.utg10.13
evm.TU.utg10.14	1	evm.utg10.14
evm.TU.utg10.15	1	evm.utg10.15
evm.TU.utg10.16	1	evm.utg10.16
evm.TU.utg10.17	1	evm.utg10.17
evm.TU.utg10.18	1	evm.utg10.18
evm.TU.utg10.19	1	evm.utg10.19
evm.TU.utg10.2	1	evm.utg10.2
evm.TU.utg10.20	1	evm.utg10.20
evm.TU.utg10.21	1	evm.utg10.21
evm.TU.utg10.22	2	evm.utg10.22,evm.utg10.22.1.5c278e75
evm.TU.utg10.23	1	evm.utg10.23
evm.TU.utg10.24	1	evm.utg10.24
evm.TU.utg10.25	1	evm.utg10.25
evm.TU.utg10.26	1	evm.utg10.26
evm.TU.utg10.27	1	evm.utg10.27
evm.TU.utg10.28	1	evm.utg10.28
evm.TU.utg10.29	1	evm.utg10.29
evm.TU.utg10.3	1	evm.utg10.3
evm.TU.utg10.30	1	evm.utg10.30
evm.TU.utg10.31	1	evm.utg10.31
evm.TU.utg10.32	1	evm.utg10.32
evm.TU.utg10.33	1	evm.utg10.33
evm.TU.utg10.34	1	evm.utg10.34
evm.TU.utg10.35	1	evm.utg10.35
evm.TU.utg10.36	1	evm.utg10.36
evm.TU.utg10.37	1	evm.utg10.37
evm.TU.utg10.38	1	evm.utg10.38
evm.TU.utg10.39	1	evm.utg10.39
evm.TU.utg10.4	1	evm.utg10.4
evm.TU.utg10.40	1	evm.utg10.40
evm.TU.utg10.41	1	evm.utg10.41
evm.TU.utg10.42	1	evm.utg10.42
evm.TU.utg10.43	1	evm.utg10.43
evm.TU.utg10.44	1	evm.utg10.44
evm.TU.utg10.45	1	evm.utg10.45
evm.TU.utg10.46	1	evm.utg10.46
evm.TU.utg10.47	1	evm.utg10.47
evm.TU.utg10.48	1	evm.utg10.48
evm.TU.utg10.49	1	evm.utg10.49
evm.TU.utg10.5	4	evm.utg10.5.1.5c22e795,evm.utg10.5,evm.utg10.5.2.5c22e796,evm.utg10.5.3.5c22e796
evm.TU.utg10.50	1	evm.utg10.50
evm.TU.utg10.51	1	evm.utg10.51
evm.TU.utg10.52	1	evm.utg10.52
evm.TU.utg10.6	1	evm.utg10.6
evm.TU.utg10.7	1	evm.utg10.7
evm.TU.utg10.8	1	evm.utg10.8
evm.TU.utg10.9	1	evm.utg10.9
evm.TU.utg1002.1	1	evm.utg1002.1
evm.TU.utg1002.10	1	evm.utg1002.10
evm.TU.utg1002.11	1	evm.utg1002.11
evm.TU.utg1002.12	1	evm.utg1002.12
evm.TU.utg1002.13	1	evm.utg1002.13
evm.TU.utg1002.14	1	evm.utg1002.14
evm.TU.utg1002.15	1	evm.utg1002.15
evm.TU.utg1002.16	1	evm.utg1002.16
evm.TU.utg1002.17	1	evm.utg1002.17
evm.TU.utg1002.18	1	evm.utg1002.18
evm.TU.utg1002.19	1	evm.utg1002.19
evm.TU.utg1002.2	1	evm.utg1002.2
evm.TU.utg1002.20	1	evm.utg1002.20
evm.TU.utg1002.21	1	evm.utg1002.21
evm.TU.utg1002.22	4	evm.utg1002.22,evm.utg1002.22.1.5c22e7a2,evm.utg1002.22.2.5c22e7a2,evm.utg1002.22.2.5c22e7a2.1.5c278e7b
evm.TU.utg1002.23	2	evm.utg1002.23,evm.utg1002.23.1.5c22e7a0
evm.TU.utg1002.24	1	evm.utg1002.24
evm.TU.utg1002.25	1	evm.utg1002.25
evm.TU.utg1002.26	2	evm.utg1002.26,evm.utg1002.26.1.5c22e7a0
evm.TU.utg1002.27	1	evm.utg1002.27
evm.TU.utg1002.28	1	evm.utg1002.28
evm.TU.utg1002.29	1	evm.utg1002.29
evm.TU.utg1002.3	1	evm.utg1002.3
evm.TU.utg1002.30	1	evm.utg1002.30
evm.TU.utg1002.31	1	evm.utg1002.31
evm.TU.utg1002.32	1	evm.utg1002.32
evm.TU.utg1002.33	1	evm.utg1002.33
evm.TU.utg1002.34	1	evm.utg1002.34
evm.TU.utg1002.35	1	evm.utg1002.35
evm.TU.utg1002.36	1	evm.utg1002.36
evm.TU.utg1002.37	1	evm.utg1002.37
evm.TU.utg1002.38	1	evm.utg1002.38
evm.TU.utg1002.39	1	evm.utg1002.39
evm.TU.utg1002.4	1	evm.utg1002.4
evm.TU.utg1002.40	1	evm.utg1002.40
evm.TU.utg1002.41	1	evm.utg1002.41
evm.TU.utg1002.42	1	evm.utg1002.42
evm.TU.utg1002.5	1	evm.utg1002.5
evm.TU.utg1002.6	1	evm.utg1002.6
evm.TU.utg1002.7	1	evm.utg1002.7
evm.TU.utg1002.8	1	evm.utg1002.8
evm.TU.utg1002.9	1	evm.utg1002.9
evm.TU.utg10026.1	8	evm.utg10026.1.3.5c22e79b,evm.utg10026.1.1.5c22e79b,evm.utg10026.1.4.5c22e79b,evm.utg10026.1.2.5c22e79b,evm.utg10026.1.5.5c22e79b,evm.utg10026.1.6.5c22e79b,evm.utg10026.1.7.5c22e79b,evm.utg10026.1
evm.TU.utg10026.10	1	evm.utg10026.10
evm.TU.utg10026.11	1	evm.utg10026.11
evm.TU.utg10026.12	1	evm.utg10026.12
evm.TU.utg10026.13	1	evm.utg10026.13
evm.TU.utg10026.14	1	evm.utg10026.14
evm.TU.utg10026.15	1	evm.utg10026.15
evm.TU.utg10026.16	5	evm.utg10026.16.1.5c22e79c,evm.utg10026.16.2.5c22e79d.1.5c278e79,evm.utg10026.16,evm.utg10026.16.2.5c22e79d,evm.utg10026.16.1.5c22e79c.2.5c278e79
evm.TU.utg10026.17	1	evm.utg10026.17
evm.TU.utg10026.18	1	evm.utg10026.18
evm.TU.utg10026.19	1	evm.utg10026.19
evm.TU.utg10026.2	1	evm.utg10026.2
evm.TU.utg10026.20	2	evm.utg10026.20,evm.utg10026.20.1.5c22e79e
evm.TU.utg10026.21	1	evm.utg10026.21
evm.TU.utg10026.3	1	evm.utg10026.3
evm.TU.utg10026.4	1	evm.utg10026.4
evm.TU.utg10026.5	1	evm.utg10026.5
evm.TU.utg10026.6	1	evm.utg10026.6
evm.TU.utg10026.7	1	evm.utg10026.7
evm.TU.utg10026.8	1	evm.utg10026.8
evm.TU.utg10026.9	1	evm.utg10026.9
evm.TU.utg10041.1	1	evm.utg10041.1
evm.TU.utg10041.10	1	evm.utg10041.10
evm.TU.utg10041.11	1	evm.utg10041.11
evm.TU.utg10041.12	2	evm.utg10041.12.1.5c278e7c,evm.utg10041.12
evm.TU.utg10041.13	1	evm.utg10041.13
evm.TU.utg10041.14	1	evm.utg10041.14
evm.TU.utg10041.15	1	evm.utg10041.15
evm.TU.utg10041.16	1	evm.utg10041.16
evm.TU.utg10041.17	1	evm.utg10041.17
evm.TU.utg10041.18	1	evm.utg10041.18
evm.TU.utg10041.19	1	evm.utg10041.19
evm.TU.utg10041.2	1	evm.utg10041.2
evm.TU.utg10041.20	1	evm.utg10041.20
evm.TU.utg10041.21	1	evm.utg10041.21
evm.TU.utg10041.22	1	evm.utg10041.22
evm.TU.utg10041.23	1	evm.utg10041.23
evm.TU.utg10041.3	1	evm.utg10041.3
evm.TU.utg10041.4	1	evm.utg10041.4
evm.TU.utg10041.5	1	evm.utg10041.5
evm.TU.utg10041.6	1	evm.utg10041.6
evm.TU.utg10041.7	1	evm.utg10041.7
evm.TU.utg10041.8	1	evm.utg10041.8
evm.TU.utg10041.9	1	evm.utg10041.9
evm.TU.utg1005.1	4	evm.utg1005.1,evm.utg1005.1.1.5c22e7ac.1.5c278e80,evm.utg1005.1.1.5c22e7ac,evm.utg1005.1.1.5c22e7ac.2.5c278e81
evm.TU.utg1005.10.9	3	evm.utg1005.10.9,evm.utg1005.10.9.1.5c278e81,evm.utg1005.10.9.2.5c278e81
evm.TU.utg1005.11	1	evm.utg1005.11
evm.TU.utg1005.12	3	evm.utg1005.12,evm.utg1005.12.1.5c22e7ac,evm.utg1005.12.2.5c22e7ac
evm.TU.utg1005.13	1	evm.utg1005.13
evm.TU.utg1005.14	1	evm.utg1005.14
evm.TU.utg1005.15	1	evm.utg1005.15
evm.TU.utg1005.16	1	evm.utg1005.16
evm.TU.utg1005.17	1	evm.utg1005.17
evm.TU.utg1005.18	1	evm.utg1005.18
evm.TU.utg1005.19	1	evm.utg1005.19
evm.TU.utg1005.2	1	evm.utg1005.2
evm.TU.utg1005.20	1	evm.utg1005.20
evm.TU.utg1005.21	1	evm.utg1005.21
evm.TU.utg1005.22	1	evm.utg1005.22
evm.TU.utg1005.23	1	evm.utg1005.23
evm.TU.utg1005.24	1	evm.utg1005.24
evm.TU.utg1005.25	1	evm.utg1005.25
evm.TU.utg1005.26	1	evm.utg1005.26
evm.TU.utg1005.27	1	evm.utg1005.27
evm.TU.utg1005.28	1	evm.utg1005.28
evm.TU.utg1005.29	1	evm.utg1005.29
evm.TU.utg1005.3	1	evm.utg1005.3
evm.TU.utg1005.30	1	evm.utg1005.30
evm.TU.utg1005.31	1	evm.utg1005.31
evm.TU.utg1005.32	2	evm.utg1005.32,evm.utg1005.32.1.5c22e7a7
evm.TU.utg1005.33	1	evm.utg1005.33
evm.TU.utg1005.34	1	evm.utg1005.34
evm.TU.utg1005.35	1	evm.utg1005.35
evm.TU.utg1005.36	2	evm.utg1005.36.1.5c22e7ad,evm.utg1005.36
evm.TU.utg1005.37	1	evm.utg1005.37
evm.TU.utg1005.38	2	evm.utg1005.38,evm.utg1005.38.1.5c22e7ae
evm.TU.utg1005.39	1	evm.utg1005.39
evm.TU.utg1005.4	1	evm.utg1005.4
evm.TU.utg1005.40	1	evm.utg1005.40
evm.TU.utg1005.41	1	evm.utg1005.41
evm.TU.utg1005.42	1	evm.utg1005.42
evm.TU.utg1005.43	1	evm.utg1005.43
evm.TU.utg1005.44	1	evm.utg1005.44
evm.TU.utg1005.45	1	evm.utg1005.45
evm.TU.utg1005.46	1	evm.utg1005.46
evm.TU.utg1005.47	1	evm.utg1005.47
evm.TU.utg1005.48	1	evm.utg1005.48
evm.TU.utg1005.49	1	evm.utg1005.49
evm.TU.utg1005.5	1	evm.utg1005.5
evm.TU.utg1005.51	1	evm.utg1005.51
evm.TU.utg1005.52	1	evm.utg1005.52
evm.TU.utg1005.53	1	evm.utg1005.53
evm.TU.utg1005.54	1	evm.utg1005.54
evm.TU.utg1005.55	1	evm.utg1005.55
evm.TU.utg1005.56	3	evm.utg1005.56.2.5c22e7a8,evm.utg1005.56,evm.utg1005.56.1.5c22e7a8
evm.TU.utg1005.57	1	evm.utg1005.57
evm.TU.utg1005.58	1	evm.utg1005.58
evm.TU.utg1005.59	1	evm.utg1005.59
evm.TU.utg1005.6	1	evm.utg1005.6
evm.TU.utg1005.60	1	evm.utg1005.60
evm.TU.utg1005.61	1	evm.utg1005.61
evm.TU.utg1005.62	1	evm.utg1005.62
evm.TU.utg1005.63	1	evm.utg1005.63
evm.TU.utg1005.64	1	evm.utg1005.64
evm.TU.utg1005.65	1	evm.utg1005.65
evm.TU.utg1005.66	1	evm.utg1005.66
evm.TU.utg1005.67	1	evm.utg1005.67
evm.TU.utg1005.68	1	evm.utg1005.68
evm.TU.utg1005.69	2	evm.utg1005.69,evm.utg1005.69.1.5c22e7ae
evm.TU.utg1005.7	1	evm.utg1005.7
evm.TU.utg1005.70	5	evm.utg1005.70,evm.utg1005.70.1.5c22e7ae,evm.utg1005.70.2.5c22e7ae,evm.utg1005.70.3.5c22e7af,evm.utg1005.70.1.5c22e7ae.1.5c278e83
evm.TU.utg1005.71	1	evm.utg1005.71
evm.TU.utg1005.72	5	evm.utg1005.72,evm.utg1005.72.1.5c22e7af,evm.utg1005.72.2.5c22e7b0,evm.utg1005.72.1.5c22e7af.1.5c278e83,evm.utg1005.72.1.5c22e7af.2.5c278e83
evm.TU.utg1005.73	1	evm.utg1005.73
evm.TU.utg1005.74	1	evm.utg1005.74
evm.TU.utg1005.75	1	evm.utg1005.75
evm.TU.utg1005.76	1	evm.utg1005.76
evm.TU.utg1005.77	1	evm.utg1005.77
evm.TU.utg1005.78	1	evm.utg1005.78
evm.TU.utg1005.79	2	evm.utg1005.79.1.5c278e80,evm.utg1005.79
evm.TU.utg1005.8	1	evm.utg1005.8
evm.TU.utg1005.80	1	evm.utg1005.80
evm.TU.utg1005.81	1	evm.utg1005.81
evm.TU.utg1005.82	2	evm.utg1005.82,evm.utg1005.82.1.5c22e7ab
evm.TU.utg1005.83	1	evm.utg1005.83
evm.TU.utg1005.84	1	evm.utg1005.84
evm.TU.utg1005.85	1	evm.utg1005.85
evm.TU.utg10069.1	1	evm.utg10069.1
evm.TU.utg10069.2	1	evm.utg10069.2
evm.TU.utg10069.3	1	evm.utg10069.3
evm.TU.utg10069.4	1	evm.utg10069.4
evm.TU.utg10069.5	1	evm.utg10069.5
evm.TU.utg10077.1	2	evm.utg10077.1,evm.utg10077.1.1.5c22e7b0
evm.TU.utg10077.10	1	evm.utg10077.10
evm.TU.utg10077.11	1	evm.utg10077.11
evm.TU.utg10077.12	1	evm.utg10077.12
evm.TU.utg10077.13	1	evm.utg10077.13
evm.TU.utg10077.14	1	evm.utg10077.14
evm.TU.utg10077.15	1	evm.utg10077.15
evm.TU.utg10077.2	1	evm.utg10077.2
evm.TU.utg10077.3	1	evm.utg10077.3
evm.TU.utg10077.4	1	evm.utg10077.4
evm.TU.utg10077.5	1	evm.utg10077.5
evm.TU.utg10077.6	1	evm.utg10077.6
evm.TU.utg10077.7	2	evm.utg10077.7,evm.utg10077.7.1.5c22e7b0
evm.TU.utg10077.8	2	evm.utg10077.8,evm.utg10077.8.1.5c22e7af
evm.TU.utg10077.9	1	evm.utg10077.9
evm.TU.utg1009.1	1	evm.utg1009.1
evm.TU.utg1009.10	1	evm.utg1009.10
evm.TU.utg1009.11	1	evm.utg1009.11
evm.TU.utg1009.12	1	evm.utg1009.12
evm.TU.utg1009.13	1	evm.utg1009.13
evm.TU.utg1009.14	1	evm.utg1009.14
evm.TU.utg1009.15	1	evm.utg1009.15
evm.TU.utg1009.16	1	evm.utg1009.16
