#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
evm.utg1025.24       -           1042 102804at33208        -            860         0 1284.5  32.0   1   2         0         0 1272.3  22.1     1   853     8   987     8   987 0.89 -
evm.utg1025.24       -           1042 102804at33208        -            860         0 1284.5  32.0   2   2   6.6e-07    0.0053   16.2  10.1   816   860   965  1011   962  1011 0.70 -
evm.utg896.25        -           1042 102804at33208        -            860         0 1284.1  32.9   1   2         0         0 1273.0  22.2     1   853     8   987     8   988 0.89 -
evm.utg896.25        -           1042 102804at33208        -            860         0 1284.1  32.9   2   2   7.8e-07    0.0062   16.0  10.3   816   860   965  1011   962  1011 0.70 -
evm.utg951.2         -            170 102804at33208        -            860   4.4e-32  112.4   0.1   1   1   7.1e-36   5.7e-32  112.1   0.1    20   117    24   137    17   157 0.88 -
evm.utg951.3         -            123 102804at33208        -            860   5.4e-11   42.6   0.0   1   1   8.1e-15   6.5e-11   42.4   0.0   170   214     3    54     1    62 0.88 -
evm.utg1497.8        -            457 102804at33208        -            860    0.0042   16.5   0.7   1   2      0.22   1.7e+03   -2.0   0.0   333   364   172   203   166   206 0.88 -
evm.utg1497.8        -            457 102804at33208        -            860    0.0042   16.5   0.7   2   2   2.7e-06     0.021   14.2   1.6   312   416   263   367   246   378 0.86 -
evm.utg4605.39       -            457 102804at33208        -            860    0.0089   15.5   1.7   1   1     2e-06     0.016   14.6   1.7   312   416   263   367   246   377 0.86 -
evm.utg1285.13       -            566 102804at33208        -            860     0.057   12.8   0.0   1   1   1.2e-05     0.091   12.1   0.0   133   277   305   447   289   466 0.69 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /uoa/scratch/users/r02hw22/project_dark_genes/busco_downloads/lineages/metazoa_odb10/hmms/102804at33208.hmm
# Target file:     /uoa/scratch/users/r02hw22/project_dark_genes/00_raw/equina_smart.rnam-trna.merged.ggf.curated.remredun.aa.fa
# Option settings: hmmsearch --domtblout /uoa/scratch/users/r02hw22/project_dark_genes/equina_busco_proteins/run_metazoa_odb10/hmmer_output/initial_run_results/102804at33208.out --cpu 1 /uoa/scratch/users/r02hw22/project_dark_genes/busco_downloads/lineages/metazoa_odb10/hmms/102804at33208.hmm /uoa/scratch/users/r02hw22/project_dark_genes/00_raw/equina_smart.rnam-trna.merged.ggf.curated.remredun.aa.fa 
# Current dir:     /uoa/scratch/users/r02hw22/project_dark_genes
# Date:            Sat Apr 25 14:40:41 2026
# [ok]
