contig	n_dark_candidate_ids	duplicated_BUSCO_unique_ids
utg10	4	1
utg1002	4	0
utg10026	1	0
utg10041	2	0
utg1005	4	3
utg10069	1	0
utg10077	1	0
utg1009	1	0
utg101	18	3
utg10114	5	0
utg10135	1	0
utg10156	6	0
utg1022	11	0
utg102448	1	0
utg10282	1	0
utg103034	1	0
utg1031	3	1
utg1032	8	1
utg10321	5	1
utg10358	3	0
utg10359	3	1
utg1038	2	0
utg10385	1	0
utg104	4	1
utg10470	4	4
utg10477	1	0
utg1049	2	1
utg1051	5	1
utg1052	9	1
utg10530	1	1
utg10541	5	3
utg1056	19	3
utg10588	3	1
utg10608	1	0
utg10628	1	2
utg107	5	2
utg10709	1	0
utg1073	2	0
utg1079	10	0
utg10824	1	0
utg109	21	2
utg1091	6	1
utg10933	2	0
utg10963	2	0
utg1101	13	0
utg11096	1	0
utg1112	1	0
utg11123	1	0
utg111395	1	0
utg112	3	0
utg11219	1	0
utg1127	2	0
utg113	4	0
utg1132	1	0
utg113218	2	0
utg11341	1	0
utg1137	10	1
utg114	1	0
utg1140	2	0
utg11411	1	0
utg11415	5	1
utg1143	14	0
utg11494	2	0
utg11497	5	0
utg115298	2	0
utg11599	1	0
utg116	23	5
utg1162	3	1
utg11695	2	0
utg117	1	0
utg11700	1	1
utg1172	1	0
utg11763	2	0
utg1177	3	0
utg11814	3	1
utg1184	2	0
utg11905	2	0
utg1194	2	2
utg1201	1	1
utg12030	3	0
utg1204	4	2
utg1205	16	0
utg1221	1	0
utg12230	2	0
utg1230	5	0
utg12336	3	0
utg1234	3	2
utg12341	1	0
utg1236	6	0
utg12382	1	0
utg1239	3	1
utg1243	1	1
utg12476	1	0
utg1249	5	0
utg125	28	2
utg1251	1	0
utg1253	10	0
utg12551	3	0
utg12553	2	2
utg1256	6	0
utg125632	2	0
utg1257	1	1
utg126	15	2
utg12644	4	0
utg1265	1	0
utg12655	6	2
utg12688	1	0
utg1270	3	0
utg1271	19	0
utg1272	17	2
utg12724	2	0
utg1277	1	0
utg1278	9	1
utg1281	2	2
utg1285	8	1
utg12875	1	0
utg12878	1	0
utg12889	1	0
utg12897	4	0
utg129	8	2
utg1290	3	0
utg12900	1	0
utg129201	1	0
utg12937	1	0
utg12968	1	0
utg12986	3	3
utg13	10	1
utg1302	3	0
utg13050	2	0
utg13091	2	1
utg1319	1	0
utg13276	2	0
utg1330	1	0
utg13322	7	0
utg13368	4	0
utg1337	4	3
utg1345	12	0
utg1347	3	0
utg13474	7	0
utg13496	2	0
utg13510	1	0
utg1355	1	1
utg1358	6	0
utg13597	3	0
utg13607	1	0
utg1363	3	0
utg1372	1	0
utg13730	1	0
utg1378	6	1
utg13793	3	0
utg1381	7	0
utg138951	1	0
utg1395	10	0
utg13959	6	0
utg1396	3	1
utg1398	3	1
utg13981	3	0
utg139996	1	0
utg14	7	3
utg14007	2	0
utg14021	10	0
utg1403	3	0
utg1404	4	2
utg1416	1	0
utg14160	2	0
