#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
evm.utg1102.19            -            508 510174at33208        -            274     3e-97  327.0  12.1   1   2   1.7e-83   3.7e-80  271.0   0.5     1   132     1   135     1   151 0.95 -
evm.utg1102.19            -            508 510174at33208        -            274     3e-97  327.0  12.1   2   2     1e-21   2.1e-18   68.4   5.4   136   271   174   332   147   338 0.72 -
evm.utg1031.18            -            513 510174at33208        -            274   1.4e-96  324.9  10.9   1   2   1.6e-82   3.4e-79  267.8   0.3     1   132     1   135     1   150 0.95 -
evm.utg1031.18            -            513 510174at33208        -            274   1.4e-96  324.9  10.9   2   2   6.9e-22   1.5e-18   68.9   4.8   136   271   174   332   143   338 0.72 -
evm.utg1031.18.1.5c22e7e9 -            493 510174at33208        -            274   4.8e-94  316.5   6.4   1   2   1.4e-82     3e-79  268.0   0.3     1   132     1   135     1   150 0.95 -
evm.utg1031.18.1.5c22e7e9 -            493 510174at33208        -            274   4.8e-94  316.5   6.4   2   2   5.5e-19   1.2e-15   59.4   1.3   136   271   174   312   147   326 0.68 -
evm.utg2099.37.3.5c22ecef -            394 510174at33208        -            274     5e-40  139.3   0.3   1   2   4.9e-43   1.1e-39  138.3   0.0     9   159    14   163     6   199 0.83 -
evm.utg2099.37.3.5c22ecef -            394 510174at33208        -            274     5e-40  139.3   0.3   2   2       3.1   6.7e+03   -2.1   0.1   145   151   265   271   231   330 0.48 -
evm.utg2099.37.2.5c22ecef -            441 510174at33208        -            274   7.1e-40  138.8   0.4   1   2   6.3e-43   1.3e-39  137.9   0.0     9   159    14   163     6   199 0.83 -
evm.utg2099.37.2.5c22ecef -            441 510174at33208        -            274   7.1e-40  138.8   0.4   2   2       3.9   8.3e+03   -2.4   0.1   145   151   265   271   233   330 0.47 -
evm.utg418.62             -            520 510174at33208        -            274   8.1e-40  138.6   0.5   1   2   9.1e-43     2e-39  137.4   0.0     9   158    14   162     6   198 0.83 -
evm.utg418.62             -            520 510174at33208        -            274   8.1e-40  138.6   0.5   2   2       4.7     1e+04   -2.7   0.1   145   151   265   271   234   330 0.46 -
evm.utg2099.37            -            520 510174at33208        -            274   8.1e-40  138.6   0.5   1   2     9e-43   1.9e-39  137.4   0.0     9   159    14   163     6   198 0.83 -
evm.utg2099.37            -            520 510174at33208        -            274   8.1e-40  138.6   0.5   2   2       5.4   1.2e+04   -2.9   0.1   145   151   265   271   234   329 0.48 -
