# Program:featureCounts v2.0.2; Command:"featureCounts" "-p" "-M" "-s" "2" "-T" "16" "-t" "exon" "-g" "gene_id" "-a" "equina_database/ref_index/genes.gtf" "-o" "featurecounts/A_Equina_Counts_stranded.txt" "alignments/10.sorted.bam" "alignments/11.sorted.bam" "alignments/12.sorted.bam" "alignments/13.sorted.bam" "alignments/14.sorted.bam" "alignments/15.sorted.bam" "alignments/16.sorted.bam" "alignments/17.sorted.bam" "alignments/18.sorted.bam" "alignments/19.sorted.bam" "alignments/1.sorted.bam" "alignments/20.sorted.bam" "alignments/21.sorted.bam" "alignments/22.sorted.bam" "alignments/23.sorted.bam" "alignments/24.sorted.bam" "alignments/25.sorted.bam" "alignments/26.sorted.bam" "alignments/27.sorted.bam" "alignments/28.sorted.bam" "alignments/2.sorted.bam" "alignments/30.sorted.bam" "alignments/31.sorted.bam" "alignments/34.sorted.bam" "alignments/36.sorted.bam" "alignments/4.sorted.bam" "alignments/50.sorted.bam" "alignments/5.sorted.bam" "alignments/6.sorted.bam" "alignments/7.sorted.bam" "alignments/8.sorted.bam" "alignments/9.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/10.sorted.bam	alignments/11.sorted.bam	alignments/12.sorted.bam	alignments/13.sorted.bam	alignments/14.sorted.bam	alignments/15.sorted.bam	alignments/16.sorted.bam	alignments/17.sorted.bam	alignments/18.sorted.bam	alignments/19.sorted.bam	alignments/1.sorted.bam	alignments/20.sorted.bam	alignments/21.sorted.bam	alignments/22.sorted.bam	alignments/23.sorted.bam	alignments/24.sorted.bam	alignments/25.sorted.bam	alignments/26.sorted.bam	alignments/27.sorted.bam	alignments/28.sorted.bam	alignments/2.sorted.bam	alignments/30.sorted.bam	alignments/31.sorted.bam	alignments/34.sorted.bam	alignments/36.sorted.bam	alignments/4.sorted.bam	alignments/50.sorted.bam	alignments/5.sorted.bam	alignments/6.sorted.bam	alignments/7.sorted.bam	alignments/8.sorted.bam	alignments/9.sorted.bam
evm.TU.utg4.1	utg4;utg4	16926;17516	17218;17685	+;+	463	112	29	67	91	21	74	26	103	22	59	34	702	14	136	24	44	181	54	54	788	0	186	144	13	27	99	39	82	62	62	60	12
evm.TU.utg4.3	utg4;utg4	25828;26691	26371;27424	+;+	1278	24	66	139	121	58	104	8	96	396	18	270	118	109	150	105	200	196	50	267	234	2	40	119	19	88	157	199	173	12	206	51	2
evm.TU.utg4.4	utg4;utg4	32709;33489	33247;33923	+;+	974	187	175	102	2430	49	296	139	171	270	184	1373	644	938	213	324	142	120	162	242	319	0	417	413	272	136	203	228	119	69	240	345	189
evm.TU.utg4.5	utg4;utg4	39811;40198	39900;40338	-;-	231	286	741	46	10	109	60	585	130	43	84	596	204	34	118	84	34	10	55	548	49	0	58	253	2042	210	108	220	65	859	24	1925	1932
evm.TU.utg4.6	utg4;utg4;utg4	53325;55752;58406	53647;55797;58435	+;+;+	399	3	5	6	15	2	26	4	8	12	6	6	26	18	3	11	1	6	7	19	13	0	8	20	12	5	8	6	12	14	10	12	0
tRNAscan-SE.tRNA.utg4.Ala(GGC).1	utg4	59053	59125	+	73	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg4.7	utg4;utg4;utg4;utg4;utg4;utg4;utg4	59280;60517;60941;62167;62480;63776;64741	59755;60595;61540;62298;62831;64030;65408	+;+;+;+;+;+;+	2562	317	418	228	299	241	288	333	346	257	149	389	282	472	347	383	194	204	271	288	322	9	148	533	672	301	292	224	288	242	121	413	287
evm.TU.utg4.8	utg4;utg4;utg4	69262;69431;69694	69341;69581;70266	+;+;+	804	4	18	34	26	10	25	15	23	0	4	30	21	11	18	9	4	22	1	14	15	0	10	21	15	6	22	12	12	33	12	1	6
evm.TU.utg4.9	utg4;utg4;utg4;utg4;utg4	75456;77277;78107;94428;97132	75875;77918;78439;94839;97355	-;-;-;-;-	2031	151	94	161	1114	161	502	82	241	768	608	624	1149	299	38	540	429	709	220	268	1131	0	1077	1908	55	824	281	553	165	547	720	26	95
evm.TU.utg4.10	utg4	98913	99950	+	1038	7	6	4	29	0	12	6	6	14	9	27	23	100	4	80	7	12	8	3	11	0	11	41	4	12	10	2	5	1	5	10	1
evm.TU.utg4.11	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	101013;105640;106528;106836;107662;108595;108979;109365;110314;110950;111158;111573;112100;113398	101053;105850;106566;106976;107791;108674;109100;109526;110442;111067;111233;111713;112206;113933	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2033	73	124	90	110	17	74	57	138	64	57	205	89	108	51	130	75	57	123	92	96	3	129	142	56	90	94	107	64	114	105	51	31
evm.TU.utg4.12	utg4	115230	116984	-	1755	0	0	16	12	0	2	2	12	4	6	0	0	3	2	6	6	13	0	0	6	0	2	6	0	10	8	7	24	0	5	0	2
evm.TU.utg4.13	utg4	120367	121645	-	1279	274	176	257	261	150	192	133	192	310	153	478	447	131	235	442	212	204	342	245	599	9	300	356	118	269	399	129	128	497	295	192	78
evm.TU.utg4.14	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	125151;126382;127519;128912;129423;129743;130871;131186;132037;132386;132557;132967;134784;135290	125776;126466;127623;129100;129492;129804;131079;131276;132198;132454;132605;133910;134852;135364	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2805	478	566	374	1388	1757	403	697	493	1330	417	1134	1866	2272	402	3877	763	472	1338	486	614	18	350	1247	568	525	406	539	408	283	437	433	535
evm.TU.utg4.15	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	138876;138876;139913;139913;140776;140776;141599;141599;141989;141989;144873;144873;145238;145238;145566;145566;145735;145735;146189;146189;148045	139054;139054;140028;140028;140862;140862;141685;141685;142037;142037;144900;144900;145330;145330;145624;145624;145847;145847;146304;146382;148175	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1136	98	120	193	254	112	264	58	183	215	182	226	205	278	139	107	199	246	214	335	251	2	280	572	93	301	206	147	168	204	362	111	23
evm.TU.utg4.16	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	148290;150122;150828;151644;152968;154632;156829;157216;158185;159977;161410;161729;162386;162868;164104;164825;165062;165426	148373;150221;150895;151732;153052;154715;156998;157339;158250;160074;161507;161811;162479;162997;164203;164911;165195;165886	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2155	324	419	223	212	161	177	380	364	137	96	570	275	344	333	184	164	201	191	330	177	29	101	362	328	238	390	173	241	270	128	221	242
evm.TU.utg4.17	utg4;utg4	170146;171160	171026;171802	+;+	1524	37	80	95	107	60	46	32	61	41	37	30	50	85	73	84	95	72	124	240	59	58	41	81	29	40	65	59	113	26	56	43	20
evm.TU.utg4.18	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	175743;175743;176301;176301;180624;180624;180857;180857;182030;182030;182664;182664;182892;182892;185480;185480;185652;185652;185917;185917;187475;187475;188064;188064;188643;188643;189984;189984;190324;190324;191750;191750;192090;192090;192920;192920;193418;193418;194857;194857;195484;195484;196117;196117;196514;196514;197361;197361;198015;198015;198676;198676;198797;198797;201734;201734;202085;202085;202580;202580;205468;205468;206972;206972;207786;207786;208401;208401;209325;209325;209889;209889;210485;210485;210662;210662;210844;210844;211736;211736;212055;212055;212372;212372;213497;213497;213828;213828;213996;214530;214530;216349;216349	176208;176208;177203;177203;180725;180725;180885;180885;182086;182086;182704;182704;182967;182967;185548;185548;185718;185718;185969;185969;187528;187528;188113;188113;188691;188691;190096;190096;190408;190408;191810;191810;192143;192143;193005;193005;193506;193506;194950;194950;195552;195552;196156;196156;196554;196554;197397;197397;198076;198076;198726;198726;198856;198856;201840;201840;202154;202154;202670;202670;205545;205545;207106;207106;207891;207891;208485;208485;209408;209408;209918;209918;210526;210526;210742;210742;210955;210955;211863;211863;212171;212171;212487;212487;213547;213547;214052;213891;214052;214562;214562;216673;216599	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4974	375	497	878	892	286	478	183	486	700	295	1033	993	916	412	559	476	697	692	681	698	24	731	1425	380	545	987	674	1028	504	678	279	126
evm.TU.utg4.19	utg4;utg4;utg4;utg4;utg4	221502;224953;225990;227830;228493	221794;225061;226076;227907;229590	+;+;+;+;+	1665	485	457	743	1171	234	479	96	421	1350	617	679	928	888	321	738	643	644	813	1060	801	33	699	1699	211	1426	835	1007	846	787	767	346	126
tRNAscan-SE.tRNA.utg4.Ser(GGA).1	utg4	227037	227108	+	72	2	7	9	0	1	0	0	8	11	1	0	0	4	1	0	0	3	0	3	4	0	2	2	1	2	12	2	6	4	4	2	0
evm.TU.utg4.20	utg4	234562	235185	-	624	38	78	136	139	15	90	34	90	80	118	130	98	77	60	63	97	121	54	138	125	26	204	150	42	271	148	185	138	148	123	86	38
utg4.equina_smart_817336.path2	utg4;utg4;utg4	235655;243918;246087	235769;243974;246127	+;+;+	213	18	34	3	4	6	13	12	11	33	4	47	17	29	4	22	15	13	8	61	11	0	33	22	5	6	15	11	13	16	10	19	34
evm.TU.utg4.21	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	243336;246803;247136;247601;247958;248214;248985;249312;249928;250312;250746;251480;253238	243425;247050;247525;247870;248108;248279;249232;249453;250241;250450;251029;251510;253315	-;-;-;-;-;-;-;-;-;-;-;-;-	2451	10	36	26	31	41	20	10	9	43	4	31	10	30	21	22	14	15	14	34	10	0	11	72	12	6	26	25	64	9	12	25	34
evm.TU.utg4.22	utg4;utg4	258143;258788	258353;259578	+;+	1002	0	6	0	0	0	0	0	0	0	0	4	0	0	0	0	2	1	0	2	0	0	0	0	2	0	0	0	1	0	1	0	0
evm.TU.utg4.23	utg4;utg4;utg4;utg4;utg4;utg4	263425;263697;266986;268958;270499;271465	263472;263867;267087;269032;270550;271496	-;-;-;-;-;-	480	106	31	75	25	47	38	20	84	28	17	388	14	47	115	34	43	23	57	48	15	0	8	26	37	26	75	30	23	38	45	118	20
evm.TU.utg4.24	utg4;utg4	274685;275589	275208;275673	+;+	609	46	70	83	234	18	81	703	96	98	61	92	152	59	78	111	47	26	75	171	43	0	13	197	113	22	63	19	184	15	116	48	29
evm.TU.utg4.25	utg4	277124	277882	+	759	20	30	32	67	0	50	260	23	64	21	25	75	81	55	50	48	30	85	36	25	0	11	84	124	15	31	21	77	10	51	23	11
evm.TU.utg4.26	utg4;utg4	278140;278763	278380;279286	-;-	765	40	69	67	240	16	62	597	60	76	54	93	166	37	95	105	56	25	56	146	37	0	9	179	114	16	54	10	174	16	90	37	10
evm.TU.utg4.27	utg4;utg4;utg4;utg4;utg4;utg4	280416;280853;283022;284666;285620;285949	280671;281040;283069;284757;285692;286204	+;+;+;+;+;+	913	945	1319	1021	1156	1414	918	1032	854	2372	1236	2135	1976	1905	849	1878	1158	1485	1617	2002	1461	120	1081	2443	1870	1312	992	948	1291	938	1111	1218	1093
tRNAscan-SE.tRNA.utg4.Pseudo(GTT).1	utg4	286673	286744	+	72	0	2	0	0	9	5	1	0	7	0	3	2	1	10	0	0	0	2	0	0	0	0	11	0	1	2	1	0	0	0	2	2
