#                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
evm.utg1087.20                       -            934 88053at33208         -            541  3.4e-158  529.3  13.9   1   5   1.4e-49     8e-46  158.4   1.7     1   103     4   113     4   124 0.93 -
evm.utg1087.20                       -            934 88053at33208         -            541  3.4e-158  529.3  13.9   2   5   2.1e-77   1.1e-73  250.3   1.4   111   316   146   386   126   396 0.81 -
evm.utg1087.20                       -            934 88053at33208         -            541  3.4e-158  529.3  13.9   3   5   1.2e-05     0.064   13.5   0.0   302   333   450   483   446   499 0.83 -
evm.utg1087.20                       -            934 88053at33208         -            541  3.4e-158  529.3  13.9   4   5   2.1e-08   0.00012   22.6   0.0   322   409   518   612   499   650 0.71 -
evm.utg1087.20                       -            934 88053at33208         -            541  3.4e-158  529.3  13.9   5   5   1.5e-26   8.3e-23   82.4   0.0   425   540   750   877   690   878 0.83 -
evm.utg1087.20.1.5c22e86f            -            934 88053at33208         -            541  3.4e-158  529.3  13.9   1   5   1.4e-49     8e-46  158.4   1.7     1   103     4   113     4   124 0.93 -
evm.utg1087.20.1.5c22e86f            -            934 88053at33208         -            541  3.4e-158  529.3  13.9   2   5   2.1e-77   1.1e-73  250.3   1.4   111   316   146   386   126   396 0.81 -
evm.utg1087.20.1.5c22e86f            -            934 88053at33208         -            541  3.4e-158  529.3  13.9   3   5   1.2e-05     0.064   13.5   0.0   302   333   450   483   446   499 0.83 -
evm.utg1087.20.1.5c22e86f            -            934 88053at33208         -            541  3.4e-158  529.3  13.9   4   5   2.1e-08   0.00012   22.6   0.0   322   409   518   612   499   650 0.71 -
evm.utg1087.20.1.5c22e86f            -            934 88053at33208         -            541  3.4e-158  529.3  13.9   5   5   1.5e-26   8.3e-23   82.4   0.0   425   540   750   877   690   878 0.83 -
evm.utg1087.20.2.5c22e86f            -            979 88053at33208         -            541  5.3e-158  528.7  14.0   1   5   1.5e-49   8.6e-46  158.3   1.7     1   103     4   113     4   124 0.93 -
evm.utg1087.20.2.5c22e86f            -            979 88053at33208         -            541  5.3e-158  528.7  14.0   2   5   2.3e-77   1.3e-73  250.2   1.4   111   316   146   386   126   399 0.81 -
evm.utg1087.20.2.5c22e86f            -            979 88053at33208         -            541  5.3e-158  528.7  14.0   3   5   1.2e-05     0.068   13.4   0.0   302   333   495   528   491   544 0.83 -
evm.utg1087.20.2.5c22e86f            -            979 88053at33208         -            541  5.3e-158  528.7  14.0   4   5   2.2e-08   0.00012   22.5   0.0   322   409   563   657   544   695 0.71 -
evm.utg1087.20.2.5c22e86f            -            979 88053at33208         -            541  5.3e-158  528.7  14.0   5   5   1.6e-26     9e-23   82.3   0.0   425   540   795   922   735   923 0.83 -
evm.utg1087.20.3.5c22e86f            -            826 88053at33208         -            541  1.6e-141  474.3  15.6   1   5   1.2e-49   6.8e-46  158.7   1.7     1   103     4   113     4   124 0.93 -
evm.utg1087.20.3.5c22e86f            -            826 88053at33208         -            541  1.6e-141  474.3  15.6   2   5   1.7e-77   9.5e-74  250.6   1.4   110   316   153   386   127   396 0.81 -
evm.utg1087.20.3.5c22e86f            -            826 88053at33208         -            541  1.6e-141  474.3  15.6   3   5   9.5e-06     0.053   13.8   0.0   302   334   450   484   443   499 0.84 -
evm.utg1087.20.3.5c22e86f            -            826 88053at33208         -            541  1.6e-141  474.3  15.6   4   5   1.6e-08     9e-05   22.9   0.0   321   409   517   612   494   652 0.72 -
evm.utg1087.20.3.5c22e86f            -            826 88053at33208         -            541  1.6e-141  474.3  15.6   5   5   5.8e-10   3.2e-06   27.7   0.0   425   470   750   795   689   800 0.76 -
evm.utg1087.20.4.5c22e870.1.5c278ee7 -            634 88053at33208         -            541  9.1e-134  448.7  11.6   1   4   8.2e-50   4.6e-46  159.2   1.7     1   103     4   113     4   124 0.93 -
evm.utg1087.20.4.5c22e870.1.5c278ee7 -            634 88053at33208         -            541  9.1e-134  448.7  11.6   2   4     1e-77   5.7e-74  251.3   1.5   111   316   146   386   126   396 0.81 -
evm.utg1087.20.4.5c22e870.1.5c278ee7 -            634 88053at33208         -            541  9.1e-134  448.7  11.6   3   4     7e-06     0.039   14.2   0.0   302   333   450   483   442   498 0.84 -
