#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
evm.utg1404.11.12.1.5c278ffc -            439 286553at33208        -            283   1.4e-95  321.9  11.3   1   3   7.7e-40   4.7e-36  126.5   0.5     1    92    54   160    54   174 0.87 -
evm.utg1404.11.12.1.5c278ffc -            439 286553at33208        -            283   1.4e-95  321.9  11.3   2   3   2.8e-35   1.7e-31  111.6   1.5    99   225   196   351   174   353 0.78 -
evm.utg1404.11.12.1.5c278ffc -            439 286553at33208        -            283   1.4e-95  321.9  11.3   3   3   4.7e-28   2.9e-24   87.9   0.1   221   283   366   437   361   437 0.86 -
evm.utg3041.40               -            471 286553at33208        -            283   9.9e-95  319.1  11.1   1   3   1.9e-38   1.2e-34  122.0   0.2     1    92    86   192    86   205 0.87 -
evm.utg3041.40               -            471 286553at33208        -            283   9.9e-95  319.1  11.1   2   3   1.1e-35   6.5e-32  113.0   1.9    99   225   228   383   207   385 0.78 -
evm.utg3041.40               -            471 286553at33208        -            283   9.9e-95  319.1  11.1   3   3   4.7e-28   2.9e-24   87.8   0.1   221   283   398   469   392   469 0.86 -
evm.utg1404.11.12            -            446 286553at33208        -            283   5.2e-85  287.2  11.5   1   3   8.6e-30   5.3e-26   93.6   1.3     1    91    65   169    65   190 0.84 -
evm.utg1404.11.12            -            446 286553at33208        -            283   5.2e-85  287.2  11.5   2   3     5e-35   3.1e-31  110.7   0.6    94   225   198   358   180   360 0.80 -
evm.utg1404.11.12            -            446 286553at33208        -            283   5.2e-85  287.2  11.5   3   3   4.8e-28     3e-24   87.8   0.1   221   283   373   444   368   444 0.86 -
evm.utg3041.39               -            261 286553at33208        -            283   1.9e-27   98.3   1.5   1   2   2.5e-30   1.6e-26   95.3   0.7     1    88    97   198    97   218 0.86 -
evm.utg3041.39               -            261 286553at33208        -            283   1.9e-27   98.3   1.5   2   2     0.075   4.6e+02    1.9   0.0    85   115   221   251   211   257 0.82 -
evm.utg1962.40               -            367 286553at33208        -            283   6.7e-09   37.5   0.0   1   2   4.2e-08   0.00026   22.4   0.0    26    76    57   104    35   111 0.84 -
evm.utg1962.40               -            367 286553at33208        -            283   6.7e-09   37.5   0.0   2   2   4.2e-05      0.26   12.5   0.0   198   263   276   355   257   360 0.63 -
evm.utg5149.2                -            413 286553at33208        -            283   8.2e-06   27.3   2.3   1   3   8.5e-07    0.0053   18.1   0.0    25    76    93   149    78   153 0.78 -
evm.utg5149.2                -            413 286553at33208        -            283   8.2e-06   27.3   2.3   2   3       1.5   9.1e+03   -2.4   0.0   169   185   262   278   240   297 0.62 -
evm.utg5149.2                -            413 286553at33208        -            283   8.2e-06   27.3   2.3   3   3    0.0025        15    6.8   0.7   191   252   311   390   302   401 0.62 -
evm.utg10933.2               -            413 286553at33208        -            283   2.2e-05   25.9   2.9   1   3   1.8e-06     0.011   17.1   0.0    25    76    93   149    78   153 0.78 -
evm.utg10933.2               -            413 286553at33208        -            283   2.2e-05   25.9   2.9   2   3       1.5   9.1e+03   -2.4   0.0   169   185   262   278   240   297 0.62 -
evm.utg10933.2               -            413 286553at33208        -            283   2.2e-05   25.9   2.9   3   3    0.0027        17    6.6   0.9   190   252   310   390   302   401 0.62 -
evm.utg10628.18              -            253 286553at33208        -            283     0.015   16.6   0.0   1   3   1.9e-05      0.12   13.7   0.0   164   223    41   103    16   118 0.76 -
evm.utg10628.18              -            253 286553at33208        -            283     0.015   16.6   0.0   2   3       0.6   3.7e+03   -1.1   0.0   220   250   132   162   100   172 0.80 -
evm.utg10628.18              -            253 286553at33208        -            283     0.015   16.6   0.0   3   3       0.6   3.7e+03   -1.1   0.0    70   106   201   237   198   242 0.85 -
evm.utg10628.19              -            449 286553at33208        -            283      0.22   12.8   0.0   1   2   8.5e-05      0.53   11.5   0.0   163   217   213   271   188   294 0.77 -
evm.utg10628.19              -            449 286553at33208        -            283      0.22   12.8   0.0   2   2       2.4   1.5e+04   -3.1   0.0   224   249   324   349   317   354 0.74 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /uoa/scratch/users/r02hw22/project_dark_genes/busco_downloads/lineages/metazoa_odb10/hmms/286553at33208.hmm
# Target file:     /uoa/scratch/users/r02hw22/project_dark_genes/00_raw/equina_smart.rnam-trna.merged.ggf.curated.remredun.aa.fa
# Option settings: hmmsearch --domtblout /uoa/scratch/users/r02hw22/project_dark_genes/equina_busco_proteins/run_metazoa_odb10/hmmer_output/initial_run_results/286553at33208.out --cpu 1 /uoa/scratch/users/r02hw22/project_dark_genes/busco_downloads/lineages/metazoa_odb10/hmms/286553at33208.hmm /uoa/scratch/users/r02hw22/project_dark_genes/00_raw/equina_smart.rnam-trna.merged.ggf.curated.remredun.aa.fa 
# Current dir:     /uoa/scratch/users/r02hw22/project_dark_genes
# Date:            Sat Apr 25 14:41:01 2026
# [ok]
