#                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name            accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----  -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
9044                 -           1654 PTHR47222.orig.30.pir -           1346   8.9e-06   35.7 115.4   1   1   4.6e-09       0.3   20.7   0.3   929  1012   739   833   736   870 0.68 -
9042                 -            155 PTHR43010.orig.30.pir -            647   6.9e-11   53.7   0.0   1   1   1.3e-18   8.5e-11   53.4   0.0   484   621     4   152     2   155 0.91 -
9073                 -            533 PTHR43067.orig.30.pir -            329   7.5e-11   53.1   0.1   1   1   2.4e-18   1.6e-10   52.0   0.1     5   236   292   508   288   523 0.77 -
9292                 -           1305 PTHR24418.orig.30.pir -            481   2.8e-40  150.4   0.1   1   1   2.3e-47   3.8e-40  150.0   0.1   204   368   940  1254   533  1264 0.69 -
9298                 -            454 PTHR24418.orig.30.pir -            481   2.2e-37  140.8   0.4   1   1   4.1e-44   6.7e-37  139.2   0.0   214   461    34   289     2   330 0.76 -
9072                 -            537 PTHR24418.orig.30.pir -            481   2.1e-13   61.8   0.1   1   1   5.9e-20   9.6e-13   59.6   0.0   312   467    17   222     6   239 0.69 -
9200                 -            368 PTHR24418.orig.30.pir -            481   1.9e-11   55.3   0.0   1   1   1.3e-18   2.1e-11   55.2   0.0   312   467    25   230     8   327 0.69 -
9116                 -           1032 PTHR45836.orig.30.pir -           1790   8.4e-65  230.7 195.7   1   3   3.8e-53   6.2e-46  168.2 108.8   843  1167   243   558   237   560 0.87 -
9116                 -           1032 PTHR45836.orig.30.pir -           1790   8.4e-65  230.7 195.7   2   3   4.6e-18   7.5e-11   51.8  38.2   822   952   560   688   556   698 0.73 -
9116                 -           1032 PTHR45836.orig.30.pir -           1790   8.4e-65  230.7 195.7   3   3   4.4e-09     0.071   22.1  34.4  1144  1275   700   815   686   984 0.76 -
9390                 -           2079 PTHR45836.orig.30.pir -           1790   1.2e-26  104.2  53.9   1   1   7.5e-34   1.2e-26  104.2  53.9   771   951  1815  1998  1777  2069 0.79 -
9258                 -            228 PTHR45836.orig.30.pir -           1790   0.00019   30.6   2.5   1   1   1.5e-11   0.00024   30.3   2.5   663   714    47    98    38   115 0.84 -
9143                 -            228 PTHR45836.orig.30.pir -           1790   0.00037   29.6   8.9   1   1   2.5e-11   0.00041   29.5   8.9  1593  1656    61   131    10   177 0.54 -
9390                 -           2079 PTHR31450.orig.30.pir -            367   4.4e-11   54.1   0.5   1   1   2.4e-18   7.9e-11   53.2   0.5    73   153  1050  1130  1019  1154 0.94 -
9091                 -           1617 PTHR31450.orig.30.pir -            367   5.7e-09   47.1   4.3   1   1   4.2e-16   1.4e-08   45.9   4.3    45   266   299   522   275   528 0.80 -
9361                 -            143 PTHR31893.orig.30.pir -            453   1.5e-19   81.9   4.2   1   1   2.5e-27   1.7e-19   81.8   4.2    31   169    13   143     1   143 0.92 -
9497                 -           1593 PTHR22903.orig.30.pir -           1322         0 1190.9  39.9   1   1         0         0 1183.6  39.9     6  1303     5  1431     1  1474 0.78 -
9487                 -            759 PTHR32031.orig.30.pir -            595   5.1e-05   33.8  17.8   1   1   7.9e-13   5.1e-05   33.8  17.8     5   145   161   301   158   391 0.80 -
9365                 -            105 PTHR22897.orig.30.pir -            561   1.3e-08   45.7   0.0   1   1   2.3e-16   1.5e-08   45.5   0.0    45   125     6    88     3   104 0.84 -
9298                 -            454 PTHR22974.orig.30.pir -            749   4.9e-41  152.9   0.1   1   1   1.5e-48   4.9e-41  152.9   0.1   436   720    30   305     3   325 0.84 -
9072                 -            537 PTHR22974.orig.30.pir -            749   4.7e-06   37.2   0.2   1   1   4.2e-13   1.4e-05   35.7   0.0   546   650    21   146    16   229 0.83 -
9001                 -            246 PTHR11844.orig.30.pir -            229   1.4e-28  111.3   0.7   1   1   2.9e-36   1.9e-28  110.8   0.7     6   206    10   219     4   235 0.84 -
9268                 -           1153 PTHR24125.orig.30.pir -            620  6.4e-112  386.9  19.8   1   7   3.4e-20   7.4e-13   59.7   0.9   389   491    19   108    13   109 0.88 -
9268                 -           1153 PTHR24125.orig.30.pir -            620  6.4e-112  386.9  19.8   2   7   6.4e-18   1.4e-10   52.2   0.0   416   511   103   191   103   192 0.95 -
9268                 -           1153 PTHR24125.orig.30.pir -            620  6.4e-112  386.9  19.8   3   7   1.1e-29   2.4e-22   91.1   0.0   353   517   147   290   145   291 0.94 -
9268                 -           1153 PTHR24125.orig.30.pir -            620  6.4e-112  386.9  19.8   4   7   2.1e-15   4.5e-08   43.9   0.0   390   468   275   342   272   343 0.93 -
9268                 -           1153 PTHR24125.orig.30.pir -            620  6.4e-112  386.9  19.8   5   7   6.2e-26   1.3e-18   78.7   0.2   379   517   330   449   330   450 0.94 -
9268                 -           1153 PTHR24125.orig.30.pir -            620  6.4e-112  386.9  19.8   6   7     1e-24   2.2e-17   74.6   0.4   354   527   433   721   430   762 0.50 -
9268                 -           1153 PTHR24125.orig.30.pir -            620  6.4e-112  386.9  19.8   7   7   9.4e-13     2e-05   35.1   1.1   187   507   737  1089   729  1096 0.60 -
9050                 -            537 PTHR24125.orig.30.pir -            620   2.2e-33  127.5   0.0   1   2   7.6e-22   1.6e-14   65.2   0.0   363   508    29   160    22   168 0.90 -
9050                 -            537 PTHR24125.orig.30.pir -            620   2.2e-33  127.5   0.0   2   2   4.7e-21     1e-13   62.5   0.0   119   341   139   314   138   520 0.92 -
9406                 -            538 PTHR24125.orig.30.pir -            620   7.5e-14   63.0   1.4   1   1   4.7e-21     1e-13   62.6   1.4   272   522    42   364    19   460 0.78 -
