#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
evm.utg1226.27                   -            140 567750at33208        -            108   3.3e-46  157.3   0.6   1   1   1.2e-49   5.7e-46  156.5   0.6     1   105     1   124     1   127 0.90 -
evm.utg4046.3                    -            105 567750at33208        -            108   3.1e-32  112.3   0.6   1   1   1.2e-35   5.6e-32  111.5   0.6     1    80     1    98     1   101 0.88 -
evm.utg3878.7                    -             98 567750at33208        -            108   8.7e-25   88.3   0.6   1   2   5.4e-13   2.5e-09   38.6   0.1     1    35     1    43     1    47 0.89 -
evm.utg3878.7                    -             98 567750at33208        -            108   8.7e-25   88.3   0.6   2   2   3.5e-16   1.6e-12   48.9   0.1    70   105    46    82    43    86 0.92 -
evm.utg338.44                    -            168 567750at33208        -            108   0.00011   23.6   1.5   1   1   6.5e-06      0.03   15.8   1.5    21   105    48   150    43   155 0.57 -
evm.utg262.29                    -            129 567750at33208        -            108    0.0056   18.2   2.1   1   2     0.011        51    5.4   0.1    21    35    48    62    42    72 0.83 -
evm.utg262.29                    -            129 567750at33208        -            108    0.0056   18.2   2.1   2   2   5.3e-05      0.24   12.9   0.5    59   105    66   111    61   116 0.74 -
evm.utg7149.26                   -            142 567750at33208        -            108    0.0061   18.0   1.2   1   2       1.8   8.6e+03   -1.7   0.0    39    50    36    47    27    53 0.73 -
evm.utg7149.26                   -            142 567750at33208        -            108    0.0061   18.0   1.2   2   2   2.7e-06     0.012   17.0   1.2    36   104    56   122    33   125 0.77 -
evm.utg217.26                    -            168 567750at33208        -            108     0.011   17.2   0.0   1   1   4.3e-06      0.02   16.4   0.0    12    63    72   123    67   134 0.94 -
evm.utg217.22                    -            167 567750at33208        -            108     0.037   15.5   0.0   1   1   1.5e-05     0.069   14.7   0.0    12    63    72   123    68   131 0.95 -
evm.utg378.103                   -            222 567750at33208        -            108     0.039   15.5   0.0   1   1   1.4e-05     0.064   14.8   0.0    47   104   137   193   112   198 0.87 -
evm.utg4428.9                    -            135 567750at33208        -            108     0.053   15.0   0.0   1   3      0.39   1.8e+03    0.4   0.0    47    75    10    38     3    49 0.82 -
evm.utg4428.9                    -            135 567750at33208        -            108     0.053   15.0   0.0   2   3    0.0058        27    6.3   0.0    39    74    58    93    54    94 0.87 -
evm.utg4428.9                    -            135 567750at33208        -            108     0.053   15.0   0.0   3   3    0.0036        17    7.0   0.0    48    83    89   130    84   134 0.82 -
evm.utg1563.1                    -            172 567750at33208        -            108     0.059   14.9   0.1   1   3     0.066     3e+02    2.9   0.0    50    82    24    52    14    62 0.81 -
evm.utg1563.1                    -            172 567750at33208        -            108     0.059   14.9   0.1   2   3      0.94   4.4e+03   -0.8   0.0    48    70    56    78    46    89 0.54 -
evm.utg1563.1                    -            172 567750at33208        -            108     0.059   14.9   0.1   3   3    0.0021       9.7    7.7   0.0    42    74    96   128    89   170 0.70 -
utg82.equina_smart_1396057.mrna1 -             75 567750at33208        -            108       0.4   12.2   0.0   1   1   8.8e-05      0.41   12.2   0.0    37    73    27    63    11    72 0.85 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /uoa/scratch/users/r02hw22/project_dark_genes/busco_downloads/lineages/metazoa_odb10/hmms/567750at33208.hmm
# Target file:     /uoa/scratch/users/r02hw22/project_dark_genes/00_raw/equina_smart.rnam-trna.merged.ggf.curated.remredun.aa.fa
# Option settings: hmmsearch --domtblout /uoa/scratch/users/r02hw22/project_dark_genes/equina_busco_proteins/run_metazoa_odb10/hmmer_output/initial_run_results/567750at33208.out --cpu 1 /uoa/scratch/users/r02hw22/project_dark_genes/busco_downloads/lineages/metazoa_odb10/hmms/567750at33208.hmm /uoa/scratch/users/r02hw22/project_dark_genes/00_raw/equina_smart.rnam-trna.merged.ggf.curated.remredun.aa.fa 
# Current dir:     /uoa/scratch/users/r02hw22/project_dark_genes
# Date:            Sat Apr 25 14:42:32 2026
# [ok]
