#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
evm.utg4856.3            -            298 465703at33208        -            212     7e-85  285.4   5.5   1   1   6.2e-87   1.2e-83  281.4   5.5     3   205    10   239     8   245 0.89 -
evm.utg379.38            -            298 465703at33208        -            212   9.5e-84  281.7   5.3   1   1   8.4e-86   1.7e-82  277.7   5.3     3   205    10   239     8   245 0.89 -
evm.utg1272.108          -            232 465703at33208        -            212    0.0004   21.5   7.9   1   3    0.0014       2.7    9.0   0.2    89   137    52   101    37   108 0.82 -
evm.utg1272.108          -            232 465703at33208        -            212    0.0004   21.5   7.9   2   3       0.1   2.1e+02    2.9   0.1   101   135   105   139   101   144 0.90 -
evm.utg1272.108          -            232 465703at33208        -            212    0.0004   21.5   7.9   3   3   0.00018      0.35   11.9   0.3    98   144   182   228   176   231 0.91 -
evm.utg7595.23           -           1178 465703at33208        -            212   0.00082   20.5   2.7   1   3         4     8e+03   -2.3   0.0    77    97   761   781   708   813 0.65 -
evm.utg7595.23           -           1178 465703at33208        -            212   0.00082   20.5   2.7   2   3       2.2   4.3e+03   -1.5   0.0    37   108   980  1051   972  1068 0.72 -
evm.utg7595.23           -           1178 465703at33208        -            212   0.00082   20.5   2.7   3   3   8.8e-07    0.0018   19.4   0.5    98   186  1071  1157  1021  1162 0.83 -
evm.utg3884.9            -           3311 465703at33208        -            212    0.0016   19.6   5.7   1   4       0.7   1.4e+03    0.1   0.0   167   197  2350  2380  2338  2389 0.87 -
evm.utg3884.9            -           3311 465703at33208        -            212    0.0016   19.6   5.7   2   4    0.0024       4.8    8.2   0.1   123   190  2486  2553  2482  2573 0.87 -
evm.utg3884.9            -           3311 465703at33208        -            212    0.0016   19.6   5.7   3   4      0.29   5.7e+02    1.4   0.0    71   114  2644  2687  2628  2732 0.78 -
evm.utg3884.9            -           3311 465703at33208        -            212    0.0016   19.6   5.7   4   4    0.0074        15    6.6   0.5   117   204  2820  2906  2759  2913 0.63 -
evm.utg788.82            -            509 465703at33208        -            212    0.0034   18.5   0.2   1   2   0.00091       1.8    9.6   0.1   114   184   363   430   317   435 0.78 -
evm.utg788.82            -            509 465703at33208        -            212    0.0034   18.5   0.2   2   2     0.008        16    6.5   0.0   124   171   441   488   421   493 0.78 -
evm.utg1049.5            -            979 465703at33208        -            212    0.0058   17.7   1.4   1   4   2.9e-06    0.0058   17.7   1.4   113   168   229   284   158   302 0.89 -
evm.utg1049.5            -            979 465703at33208        -            212    0.0058   17.7   1.4   2   4      0.83   1.7e+03   -0.1   0.0    95   136   318   361   291   370 0.71 -
evm.utg1049.5            -            979 465703at33208        -            212    0.0058   17.7   1.4   3   4         6   1.2e+04   -2.9   0.0   161   190   519   545   477   555 0.51 -
evm.utg1049.5            -            979 465703at33208        -            212    0.0058   17.7   1.4   4   4       3.5   6.9e+03   -2.1   0.1   120   159   789   827   786   849 0.77 -
evm.utg5950.5            -            979 465703at33208        -            212    0.0058   17.7   1.4   1   4   2.9e-06    0.0058   17.7   1.4   113   168   229   284   158   302 0.89 -
evm.utg5950.5            -            979 465703at33208        -            212    0.0058   17.7   1.4   2   4      0.83   1.7e+03   -0.1   0.0    95   136   318   361   291   370 0.71 -
evm.utg5950.5            -            979 465703at33208        -            212    0.0058   17.7   1.4   3   4         6   1.2e+04   -2.9   0.0   161   190   519   545   477   555 0.51 -
evm.utg5950.5            -            979 465703at33208        -            212    0.0058   17.7   1.4   4   4       3.5   6.9e+03   -2.1   0.1   120   159   789   827   786   849 0.77 -
evm.utg729.56            -            546 465703at33208        -            212    0.0073   17.4  16.4   1   5    0.0014       2.8    9.0   0.1   128   159    17    48     3    70 0.78 -
evm.utg729.56            -            546 465703at33208        -            212    0.0073   17.4  16.4   2   5      0.33   6.5e+02    1.2   0.0   168   201    88   121    74   126 0.75 -
evm.utg729.56            -            546 465703at33208        -            212    0.0073   17.4  16.4   3   5       0.2   4.1e+02    1.9   0.1    76   111   241   276   231   287 0.76 -
evm.utg729.56            -            546 465703at33208        -            212    0.0073   17.4  16.4   4   5     0.007        14    6.7   3.1    74   186   314   429   296   435 0.74 -
evm.utg729.56            -            546 465703at33208        -            212    0.0073   17.4  16.4   5   5     0.053     1e+02    3.8   0.0    75   108   443   476   435   486 0.81 -
evm.utg7950.14           -            837 465703at33208        -            212     0.013   16.6   0.1   1   1   1.7e-05     0.033   15.3   0.1   112   199    49   130    38   140 0.81 -
evm.utg3884.9.1.5c22f02a -           3085 465703at33208        -            212     0.015   16.4   9.5   1   5       8.5   1.7e+04   -3.4   0.1   149   193  2267  2307  2214  2312 0.72 -
evm.utg3884.9.1.5c22f02a -           3085 465703at33208        -            212     0.015   16.4   9.5   2   5      0.61   1.2e+03    0.3   0.0   167   197  2350  2380  2337  2389 0.86 -
evm.utg3884.9.1.5c22f02a -           3085 465703at33208        -            212     0.015   16.4   9.5   3   5    0.0022       4.4    8.3   0.1   123   190  2486  2553  2482  2573 0.87 -
evm.utg3884.9.1.5c22f02a -           3085 465703at33208        -            212     0.015   16.4   9.5   4   5      0.27   5.3e+02    1.5   0.0    71   114  2644  2687  2628  2732 0.78 -
