contig	n_dark_candidate_ids	n_genes	n_transcripts	annotation_classes	candidate_region_span
utg10	4	53	112	function_dark_no_current_annotation	utg10:5566-544330
utg1002	4	44	95	function_dark_no_current_annotation	utg1002:3273-412877
utg10026	1	22	64	function_dark_no_current_annotation	utg10026:8010-270572
utg10041	2	24	48	function_dark_no_current_annotation	utg10041:514-118322
utg1005	4	85	207	function_dark_no_current_annotation	utg1005:902-833197
utg10069	1	6	10	function_dark_no_current_annotation	utg10069:2186-88295
utg10077	1	16	36	function_dark_no_current_annotation	utg10077:1601-109639
utg1009	1	31	60	function_dark_no_current_annotation	utg1009:5379-214794
utg101	18	210	513	function_dark_no_current_annotation	utg101:1584-1545426
utg10114	5	29	56	function_dark_no_current_annotation	utg10114:2035-192028
utg10135	1	8	14	function_dark_no_current_annotation	utg10135:529-54226
utg10156	6	33	66	function_dark_no_current_annotation	utg10156:17087-311672
utg1022	11	77	165	function_dark_no_current_annotation	utg1022:2754-691313
utg102448	1	7	14	function_dark_no_current_annotation	utg102448:1234-37320
utg10282	1	27	52	function_dark_no_current_annotation	utg10282:10311-309770
utg103034	1	4	6	function_dark_no_current_annotation	utg103034:8859-36559
utg1031	3	89	208	function_dark_no_current_annotation	utg1031:6218-587403
utg1032	8	50	124	function_dark_no_current_annotation	utg1032:1560-603442
utg10321	5	32	83	function_dark_no_current_annotation	utg10321:6889-381457
utg10358	3	19	36	function_dark_no_current_annotation	utg10358:7245-75619
utg10359	3	35	68	function_dark_no_current_annotation	utg10359:3360-302739
utg1038	2	17	32	function_dark_no_current_annotation	utg1038:159-152913
utg10385	1	13	24	function_dark_no_current_annotation	utg10385:9505-72985
utg104	4	88	212	function_dark_no_current_annotation	utg104:4239-634532
utg10470	4	58	130	function_dark_no_current_annotation	utg10470:7971-491490
utg10477	1	13	24	function_dark_no_current_annotation	utg10477:9820-66072
utg1049	2	47	113	function_dark_no_current_annotation	utg1049:137-500343
utg1051	5	104	273	function_dark_no_current_annotation	utg1051:932-680676
utg1052	9	54	129	function_dark_no_current_annotation	utg1052:661-560964
utg10530	1	2	2	function_dark_no_current_annotation	utg10530:96381-98384
utg10541	5	33	72	function_dark_no_current_annotation	utg10541:522-251591
utg1056	19	153	411	function_dark_no_current_annotation	utg1056:29603-1519643
utg10588	3	33	90	function_dark_no_current_annotation	utg10588:351-256771
utg10608	1	4	6	function_dark_no_current_annotation	utg10608:13228-32282
