#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
evm.utg616.52                         -            255 427789at33208        -            408   8.7e-86  290.1   0.0   1   1   3.4e-89   1.1e-85  289.8   0.0   213   404    12   228     6   232 0.87 -
evm.utg16443.3                        -            486 427789at33208        -            408   1.5e-67  230.1   0.1   1   1   5.5e-71   1.8e-67  229.8   0.1     4   403    47   471    44   476 0.87 -
evm.utg16443.3.2.5c22eb89             -            442 427789at33208        -            408   1.8e-64  220.0   0.1   1   1     7e-68   2.3e-64  219.6   0.1     4   367    47   428    44   435 0.88 -
evm.utg219.74                         -            471 427789at33208        -            408   4.5e-60  205.5   0.0   1   1   1.7e-63   5.6e-60  205.1   0.0     6   403    47   464    42   469 0.87 -
evm.utg616.53                         -            260 427789at33208        -            408   2.5e-59  203.0   0.0   1   1   9.7e-63   3.2e-59  202.7   0.0     9   169    66   228    61   247 0.94 -
evm.utg622.66                         -            471 427789at33208        -            408   2.6e-58  199.6   0.0   1   1     1e-61   3.3e-58  199.3   0.0     6   403    47   464    42   469 0.87 -
evm.utg16443.3.1.5c22eb89             -            375 427789at33208        -            408   3.7e-54  186.0   0.2   1   1   1.5e-57   4.8e-54  185.6   0.2     4   307    47   361    44   368 0.89 -
evm.utg16443.3.2.5c22eb89.1.5c2790a3  -            325 427789at33208        -            408   2.7e-47  163.4   0.1   1   1   1.1e-50   3.6e-47  163.0   0.1     4   258    47   315    44   319 0.90 -
evm.utg3753.13                        -            476 427789at33208        -            408   1.9e-06   28.9   0.0   1   1   8.1e-10   2.6e-06   28.4   0.0    36   138   115   218   105   258 0.89 -
evm.utg597.22                         -           1062 427789at33208        -            408   2.1e-05   25.4   0.0   1   1   1.1e-08   3.5e-05   24.7   0.0    37   138   119   221   109   243 0.88 -
evm.utg857.41.1.5c22f488              -            500 427789at33208        -            408    0.0041   17.9   0.0   1   1   1.8e-06    0.0058   17.4   0.0    47   144    58   157    26   207 0.80 -
evm.utg857.41                         -            532 427789at33208        -            408    0.0049   17.6   0.0   1   1   2.3e-06    0.0076   17.0   0.0    47   134    58   146    26   164 0.86 -
evm.utg15506.22.1.5c22eb2e.1.5c279059 -            681 427789at33208        -            408    0.0067   17.2   0.0   1   1   3.4e-06     0.011   16.4   0.0    47   134    58   146    26   163 0.86 -
evm.utg15506.22.1.5c22eb2e            -            822 427789at33208        -            408    0.0083   16.9   0.0   1   1   4.5e-06     0.015   16.0   0.0    47   134    58   146    26   163 0.86 -
evm.utg15506.22                       -            977 427789at33208        -            408     0.011   16.4   0.0   1   1   5.7e-06     0.019   15.7   0.0    47   134    58   146    26   163 0.86 -
evm.utg116.271                        -            132 427789at33208        -            408     0.088   13.5   0.1   1   1     3e-05     0.099   13.3   0.1    66   132    32    98    22   122 0.69 -
evm.utg116.271.1.5c22e8ee             -            115 427789at33208        -            408      0.15   12.7   0.1   1   1   4.9e-05      0.16   12.6   0.1    66   129    32    95    22   111 0.78 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /uoa/scratch/users/r02hw22/project_dark_genes/busco_downloads/lineages/metazoa_odb10/hmms/427789at33208.hmm
# Target file:     /uoa/scratch/users/r02hw22/project_dark_genes/00_raw/equina_smart.rnam-trna.merged.ggf.curated.remredun.aa.fa
# Option settings: hmmsearch --domtblout /uoa/scratch/users/r02hw22/project_dark_genes/equina_busco_proteins/run_metazoa_odb10/hmmer_output/initial_run_results/427789at33208.out --cpu 1 /uoa/scratch/users/r02hw22/project_dark_genes/busco_downloads/lineages/metazoa_odb10/hmms/427789at33208.hmm /uoa/scratch/users/r02hw22/project_dark_genes/00_raw/equina_smart.rnam-trna.merged.ggf.curated.remredun.aa.fa 
# Current dir:     /uoa/scratch/users/r02hw22/project_dark_genes
# Date:            Sat Apr 25 14:41:59 2026
# [ok]
