gene_id	excluded_mrna_id	excluded_protein_length	representative_mrna_id	representative_protein_length
evm.TU.utg10.22	evm.utg10.22.1.5c278e75	329	evm.utg10.22	400
evm.TU.utg10.5	evm.utg10.5.1.5c22e795	502	evm.utg10.5	502
evm.TU.utg10.5	evm.utg10.5.2.5c22e796	483	evm.utg10.5	502
evm.TU.utg10.5	evm.utg10.5.3.5c22e796	401	evm.utg10.5	502
evm.TU.utg1002.22	evm.utg1002.22.1.5c22e7a2	341	evm.utg1002.22	370
evm.TU.utg1002.22	evm.utg1002.22.2.5c22e7a2	279	evm.utg1002.22	370
evm.TU.utg1002.22	evm.utg1002.22.2.5c22e7a2.1.5c278e7b	213	evm.utg1002.22	370
evm.TU.utg1002.23	evm.utg1002.23.1.5c22e7a0	69	evm.utg1002.23	85
evm.TU.utg1002.26	evm.utg1002.26.1.5c22e7a0	323	evm.utg1002.26	324
evm.TU.utg10026.1	evm.utg10026.1.1.5c22e79b	523	evm.utg10026.1	561
evm.TU.utg10026.1	evm.utg10026.1.2.5c22e79b	437	evm.utg10026.1	561
evm.TU.utg10026.1	evm.utg10026.1.3.5c22e79b	560	evm.utg10026.1	561
evm.TU.utg10026.1	evm.utg10026.1.4.5c22e79b	398	evm.utg10026.1	561
evm.TU.utg10026.1	evm.utg10026.1.5.5c22e79b	561	evm.utg10026.1	561
evm.TU.utg10026.1	evm.utg10026.1.6.5c22e79b	560	evm.utg10026.1	561
evm.TU.utg10026.1	evm.utg10026.1.7.5c22e79b	557	evm.utg10026.1	561
evm.TU.utg10026.16	evm.utg10026.16	656	evm.utg10026.16.1.5c22e79c.2.5c278e79	665
evm.TU.utg10026.16	evm.utg10026.16.1.5c22e79c	654	evm.utg10026.16.1.5c22e79c.2.5c278e79	665
evm.TU.utg10026.16	evm.utg10026.16.2.5c22e79d	649	evm.utg10026.16.1.5c22e79c.2.5c278e79	665
evm.TU.utg10026.16	evm.utg10026.16.2.5c22e79d.1.5c278e79	454	evm.utg10026.16.1.5c22e79c.2.5c278e79	665
evm.TU.utg10026.20	evm.utg10026.20	199	evm.utg10026.20.1.5c22e79e	216
