# Program:featureCounts v2.0.2; Command:"featureCounts" "-p" "-M" "-s" "0" "-T" "16" "-t" "exon" "-g" "gene_id" "-a" "equina_database/ref_index/genes.gtf" "-o" "featurecounts/A_Equina_Counts_unstranded.txt" "alignments/10.sorted.bam" "alignments/11.sorted.bam" "alignments/12.sorted.bam" "alignments/13.sorted.bam" "alignments/14.sorted.bam" "alignments/15.sorted.bam" "alignments/16.sorted.bam" "alignments/17.sorted.bam" "alignments/18.sorted.bam" "alignments/19.sorted.bam" "alignments/1.sorted.bam" "alignments/20.sorted.bam" "alignments/21.sorted.bam" "alignments/22.sorted.bam" "alignments/23.sorted.bam" "alignments/24.sorted.bam" "alignments/25.sorted.bam" "alignments/26.sorted.bam" "alignments/27.sorted.bam" "alignments/28.sorted.bam" "alignments/2.sorted.bam" "alignments/30.sorted.bam" "alignments/31.sorted.bam" "alignments/34.sorted.bam" "alignments/36.sorted.bam" "alignments/4.sorted.bam" "alignments/50.sorted.bam" "alignments/5.sorted.bam" "alignments/6.sorted.bam" "alignments/7.sorted.bam" "alignments/8.sorted.bam" "alignments/9.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/10.sorted.bam	alignments/11.sorted.bam	alignments/12.sorted.bam	alignments/13.sorted.bam	alignments/14.sorted.bam	alignments/15.sorted.bam	alignments/16.sorted.bam	alignments/17.sorted.bam	alignments/18.sorted.bam	alignments/19.sorted.bam	alignments/1.sorted.bam	alignments/20.sorted.bam	alignments/21.sorted.bam	alignments/22.sorted.bam	alignments/23.sorted.bam	alignments/24.sorted.bam	alignments/25.sorted.bam	alignments/26.sorted.bam	alignments/27.sorted.bam	alignments/28.sorted.bam	alignments/2.sorted.bam	alignments/30.sorted.bam	alignments/31.sorted.bam	alignments/34.sorted.bam	alignments/36.sorted.bam	alignments/4.sorted.bam	alignments/50.sorted.bam	alignments/5.sorted.bam	alignments/6.sorted.bam	alignments/7.sorted.bam	alignments/8.sorted.bam	alignments/9.sorted.bam
evm.TU.utg4.1	utg4;utg4	16926;17516	17218;17685	+;+	463	192	57	127	142	41	145	58	198	36	100	61	1369	24	271	42	75	292	91	134	1613	0	335	279	36	59	206	76	165	94	116	122	34
evm.TU.utg4.3	utg4;utg4	25828;26691	26371;27424	+;+	1278	43	118	296	199	112	208	24	178	773	42	496	212	182	259	186	462	369	107	556	377	2	75	222	37	188	304	424	377	12	396	119	6
evm.TU.utg4.4	utg4;utg4	32709;33489	33247;33923	+;+	974	347	310	193	4950	143	574	350	414	485	391	2892	1223	1875	375	625	244	267	329	466	583	0	873	822	545	301	405	505	191	135	554	721	320
evm.TU.utg4.5	utg4;utg4	39811;40198	39900;40338	-;-	231	615	1454	80	27	218	125	1180	294	63	146	1361	440	74	196	215	60	22	135	1043	116	0	113	518	4147	407	259	415	131	1686	40	3895	3908
evm.TU.utg4.6	utg4;utg4;utg4	53325;55752;58406	53647;55797;58435	+;+;+	399	10	9	17	25	6	34	7	19	17	6	22	39	29	9	24	10	21	12	35	25	0	23	36	28	23	20	9	22	24	24	35	9
tRNAscan-SE.tRNA.utg4.Ala(GGC).1	utg4	59053	59125	+	73	0	0	0	6	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg4.7	utg4;utg4;utg4;utg4;utg4;utg4;utg4	59280;60517;60941;62167;62480;63776;64741	59755;60595;61540;62298;62831;64030;65408	+;+;+;+;+;+;+	2562	668	783	461	565	438	575	593	709	542	305	768	597	1041	597	793	338	418	506	576	630	14	403	1033	1265	662	506	417	524	436	287	789	562
evm.TU.utg4.8	utg4;utg4;utg4	69262;69431;69694	69341;69581;70266	+;+;+	804	16	52	56	53	14	44	41	66	2	10	73	30	23	40	12	8	44	6	45	25	0	12	55	27	8	58	22	27	45	22	15	17
evm.TU.utg4.9	utg4;utg4;utg4;utg4;utg4	75456;77277;78107;94428;97132	75875;77918;78439;94839;97355	-;-;-;-;-	2031	300	179	342	2403	317	979	159	496	1530	1202	1286	2245	605	106	1006	793	1335	500	571	2175	2	2112	3934	143	1748	556	1107	385	1119	1416	45	177
evm.TU.utg4.10	utg4	98913	99950	+	1038	17	8	7	67	1	18	8	11	34	15	32	33	185	9	132	7	35	26	4	12	0	16	58	5	18	16	7	6	7	23	10	3
