#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
evm.utg1049.37                    -            459 379771at33208        -            266   1.2e-68  233.3   0.1   1   2   2.4e-18   1.9e-14   55.6   0.0    70   113    27    70     4    82 0.85 -
evm.utg1049.37                    -            459 379771at33208        -            266   1.2e-68  233.3   0.1   2   2   1.6e-54   1.3e-50  174.2   0.1   106   260   111   291   100   297 0.83 -
evm.utg1049.36                    -            295 379771at33208        -            266   2.2e-10   42.3   0.1   1   2   1.8e-13   1.5e-09   39.6   0.0     2    37   118   157   117   168 0.90 -
evm.utg1049.36                    -            295 379771at33208        -            266   2.2e-10   42.3   0.1   2   2      0.19   1.5e+03    0.2   0.0    41    58   185   202   180   211 0.81 -
evm.utg1663.18.19.20              -            557 379771at33208        -            266     3e-10   41.8   0.0   1   3      0.27   2.1e+03   -0.3   0.0     8    33   115   144   110   152 0.72 -
evm.utg1663.18.19.20              -            557 379771at33208        -            266     3e-10   41.8   0.0   2   3   4.5e-06     0.036   15.4   0.0    60    99   233   274   222   286 0.84 -
evm.utg1663.18.19.20              -            557 379771at33208        -            266     3e-10   41.8   0.0   3   3   3.5e-08   0.00028   22.3   0.0   146   233   349   449   332   464 0.69 -
evm.utg27299.5                    -            557 379771at33208        -            266   3.5e-10   41.6   0.0   1   3      0.27   2.1e+03   -0.3   0.0     8    33   115   144   110   152 0.72 -
evm.utg27299.5                    -            557 379771at33208        -            266   3.5e-10   41.6   0.0   2   3   4.5e-06     0.036   15.4   0.0    60    99   233   274   222   286 0.84 -
evm.utg27299.5                    -            557 379771at33208        -            266   3.5e-10   41.6   0.0   3   3   4.1e-08   0.00032   22.1   0.0   146   233   349   449   332   464 0.69 -
evm.utg27299.5.1.5c22ee1b         -            557 379771at33208        -            266   3.5e-10   41.6   0.0   1   3      0.27   2.1e+03   -0.3   0.0     8    33   115   144   110   152 0.72 -
evm.utg27299.5.1.5c22ee1b         -            557 379771at33208        -            266   3.5e-10   41.6   0.0   2   3   4.5e-06     0.036   15.4   0.0    60    99   233   274   222   286 0.84 -
evm.utg27299.5.1.5c22ee1b         -            557 379771at33208        -            266   3.5e-10   41.6   0.0   3   3   4.1e-08   0.00032   22.1   0.0   146   233   349   449   332   464 0.69 -
evm.utg27299.4                    -            298 379771at33208        -            266     7e-08   34.1   0.0   1   2   0.00035       2.8    9.2   0.0    75    99     5    29     2    44 0.84 -
evm.utg27299.4                    -            298 379771at33208        -            266     7e-08   34.1   0.0   2   2   2.4e-08   0.00019   22.8   0.0   151   233   109   204    83   217 0.72 -
utg1272.equina_smart_262350.mrna2 -            702 379771at33208        -            266      0.47   11.7   0.0   1   1   9.6e-05      0.76   11.0   0.0    62   103   233   274   215   302 0.74 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /uoa/scratch/users/r02hw22/project_dark_genes/busco_downloads/lineages/metazoa_odb10/hmms/379771at33208.hmm
# Target file:     /uoa/scratch/users/r02hw22/project_dark_genes/00_raw/equina_smart.rnam-trna.merged.ggf.curated.remredun.aa.fa
# Option settings: hmmsearch --domtblout /uoa/scratch/users/r02hw22/project_dark_genes/equina_busco_proteins/run_metazoa_odb10/hmmer_output/initial_run_results/379771at33208.out --cpu 1 /uoa/scratch/users/r02hw22/project_dark_genes/busco_downloads/lineages/metazoa_odb10/hmms/379771at33208.hmm /uoa/scratch/users/r02hw22/project_dark_genes/00_raw/equina_smart.rnam-trna.merged.ggf.curated.remredun.aa.fa 
# Current dir:     /uoa/scratch/users/r02hw22/project_dark_genes
# Date:            Sat Apr 25 14:42:00 2026
# [ok]
