#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
evm.utg11814.11.1.5c22e8fc -            297 406927at33208        -            154   3.8e-48  165.2  20.0   1   2   2.7e-52   3.8e-48  165.2  20.0     1   136    37   179    37   190 0.93 -
evm.utg11814.11.1.5c22e8fc -            297 406927at33208        -            154   3.8e-48  165.2  20.0   2   2         4   5.6e+04   -9.9  16.5    32   106   207   286   196   295 0.46 -
evm.utg11814.11            -            317 406927at33208        -            154   4.4e-48  164.9  20.0   1   3       1.2   1.7e+04   -2.6   1.3    30    51    31    53    10    56 0.52 -
evm.utg11814.11            -            317 406927at33208        -            154   4.4e-48  164.9  20.0   2   3   3.2e-52   4.4e-48  164.9  20.0     1   136    57   199    57   210 0.93 -
evm.utg11814.11            -            317 406927at33208        -            154   4.4e-48  164.9  20.0   3   3         4   5.6e+04  -10.1  16.4    32   106   227   306   216   315 0.46 -
evm.utg3267.7              -            150 406927at33208        -            154     3e-34  120.0  12.7   1   2       0.3   4.2e+03   -0.6   1.0    30    51    31    53     9    56 0.51 -
evm.utg3267.7              -            150 406927at33208        -            154     3e-34  120.0  12.7   2   2   2.1e-38     3e-34  120.0  12.7     1    84    57   147    57   148 0.94 -
evm.utg3267.6              -            264 406927at33208        -            154   9.8e-07   30.7   0.8   1   3     7e-11   9.8e-07   30.7   0.8    89   136     2    49     1    63 0.89 -
evm.utg3267.6              -            264 406927at33208        -            154   9.8e-07   30.7   0.8   2   3         4   5.6e+04   -9.4  20.8    28   120    73   166    65   182 0.77 -
evm.utg3267.6              -            264 406927at33208        -            154   9.8e-07   30.7   0.8   3   3     0.085   1.2e+03    1.2  22.6    48   154   148   248   140   248 0.68 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /uoa/scratch/users/r02hw22/project_dark_genes/busco_downloads/lineages/metazoa_odb10/hmms/406927at33208.hmm
# Target file:     /uoa/scratch/users/r02hw22/project_dark_genes/00_raw/equina_smart.rnam-trna.merged.ggf.curated.remredun.aa.fa
# Option settings: hmmsearch --domtblout /uoa/scratch/users/r02hw22/project_dark_genes/equina_busco_proteins/run_metazoa_odb10/hmmer_output/initial_run_results/406927at33208.out --cpu 1 /uoa/scratch/users/r02hw22/project_dark_genes/busco_downloads/lineages/metazoa_odb10/hmms/406927at33208.hmm /uoa/scratch/users/r02hw22/project_dark_genes/00_raw/equina_smart.rnam-trna.merged.ggf.curated.remredun.aa.fa 
# Current dir:     /uoa/scratch/users/r02hw22/project_dark_genes
# Date:            Sat Apr 25 14:42:00 2026
# [ok]
