# BUSCO version is: 5.3.2 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
5951at33208	Duplicated	evm.utg2757.58	4210.4	1997	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	evm.utg101.198	4076.4	1971	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
9639at33208	Complete	evm.utg2024.18	2527.8	1778	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
13816at33208	Complete	evm.utg301.58	1804.6	1455	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
14776at33208	Duplicated	evm.utg2757.22	2397.7	1925	https://v10-1.orthodb.org/?query=14776at33208	Translational activator Gcn1
14776at33208	Duplicated	evm.utg2757.22.1.5c22ee25	2297.2	1672	https://v10-1.orthodb.org/?query=14776at33208	Translational activator Gcn1
16244at33208	Duplicated	evm.utg686.16	2809.5	1724	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
16244at33208	Duplicated	evm.utg6334.4	2474.0	1590	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
40200at33208	Complete	evm.utg1900.21	611.2	488	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
45934at33208	Duplicated	evm.utg2205.17	1070.0	876	https://v10-1.orthodb.org/?query=45934at33208	WASH complex subunit 7, central domain
45934at33208	Duplicated	evm.utg2205.17.1.5c22ed31	1069.8	876	https://v10-1.orthodb.org/?query=45934at33208	WASH complex subunit 7, central domain
45934at33208	Duplicated	evm.utg2205.17.2.5c22ed31	939.0	726	https://v10-1.orthodb.org/?query=45934at33208	WASH complex subunit 7, central domain
45934at33208	Duplicated	evm.utg2205.17.3.5c22ed31	925.6	645	https://v10-1.orthodb.org/?query=45934at33208	WASH complex subunit 7, central domain
49474at33208	Complete	evm.utg4130.3	1626.5	1162	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
50756at33208	Complete	evm.utg14533.4	1351.9	1075	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
56573at33208	Complete	evm.utg5059.65	1335.8	920	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
57158at33208	Complete	evm.utg1290.40	1073.2	659	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
63697at33208	Complete	evm.utg4177.35	1946.9	1018	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
64435at33208	Complete	evm.utg101.72	366.0	562	https://v10-1.orthodb.org/?query=64435at33208	HEAT repeat-containing protein 6
