dark_cluster_id	representative_id	candidate_id	cluster_size	cluster_members	cluster_method
dark_cluster_000001	utg577.equina_smart_1417529utrorf.mrna1	utg577.equina_smart_1417529utrorf.mrna1	1	utg577.equina_smart_1417529utrorf.mrna1	exact_python_fallback
dark_cluster_000002	utg470.equina_smart_1414577utrorf.mrna1	utg470.equina_smart_1414577utrorf.mrna1	1	utg470.equina_smart_1414577utrorf.mrna1	exact_python_fallback
dark_cluster_000003	evm.utg7127.50	evm.utg7127.50	2	evm.utg7127.50;evm.utg7127.9	exact_python_fallback
dark_cluster_000003	evm.utg7127.50	evm.utg7127.9	2	evm.utg7127.50;evm.utg7127.9	exact_python_fallback
dark_cluster_000004	utg910.equina_smart_1426377.mrna1	utg910.equina_smart_1426377.mrna1	1	utg910.equina_smart_1426377.mrna1	exact_python_fallback
dark_cluster_000005	evm.utg42547.1	evm.utg42547.1	1	evm.utg42547.1	exact_python_fallback
dark_cluster_000006	evm.utg64.36	evm.utg64.36	1	evm.utg64.36	exact_python_fallback
dark_cluster_000007	evm.utg2371.23	evm.utg2371.23	1	evm.utg2371.23	exact_python_fallback
dark_cluster_000008	evm.utg52.121	evm.utg52.121	1	evm.utg52.121	exact_python_fallback
dark_cluster_000009	evm.utg14913.11	evm.utg14913.11	4	evm.utg14913.11;evm.utg14913.12;evm.utg14913.5;evm.utg14913.6	exact_python_fallback
dark_cluster_000009	evm.utg14913.11	evm.utg14913.12	4	evm.utg14913.11;evm.utg14913.12;evm.utg14913.5;evm.utg14913.6	exact_python_fallback
dark_cluster_000009	evm.utg14913.11	evm.utg14913.5	4	evm.utg14913.11;evm.utg14913.12;evm.utg14913.5;evm.utg14913.6	exact_python_fallback
dark_cluster_000009	evm.utg14913.11	evm.utg14913.6	4	evm.utg14913.11;evm.utg14913.12;evm.utg14913.5;evm.utg14913.6	exact_python_fallback
dark_cluster_000010	evm.utg13276.1	evm.utg13276.1	1	evm.utg13276.1	exact_python_fallback
dark_cluster_000011	evm.utg1828.17	evm.utg1828.17	3	evm.utg1828.17;evm.utg1828.28;evm.utg1828.3	exact_python_fallback
dark_cluster_000011	evm.utg1828.17	evm.utg1828.28	3	evm.utg1828.17;evm.utg1828.28;evm.utg1828.3	exact_python_fallback
dark_cluster_000011	evm.utg1828.17	evm.utg1828.3	3	evm.utg1828.17;evm.utg1828.28;evm.utg1828.3	exact_python_fallback
