Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Genome assembly ID	Genome representation	Components	Taxonomic lineage
UP000001593	Nematostella vectensis (Starlet sea anemone)	45351	24435	C:89.7%[S:87.9%,D:1.8%],F:4.8%,M:5.5%,n:954	Unknown	GCA_000209225.1	full	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Cnidaria, Anthozoa, Hexacorallia, Actiniaria, Edwardsiidae, Nematostella
UP000275408	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	46731	25411	C:87.7%[S:87.5%,D:0.2%],F:5.7%,M:6.6%,n:954	Unknown	GCA_003704095.1	full	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Astrocoeniina, Pocilloporidae, Pocillopora
UP000515163	Actinia tenebrosa (Australian red waratah sea anemone)	6105	23843	C:97.3%[S:85.8%,D:11.4%],F:1.4%,M:1.4%,n:954	Unknown	GCF_009602425.1	full	Mitochondrion MT; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Cnidaria, Anthozoa, Hexacorallia, Actiniaria, Actiniidae, Actinia
UP000594262	Clytia hemisphaerica	252671	24557	C:81.1%[S:72.1%,D:9.0%],F:2.9%,M:15.9%,n:954	Unknown	GCA_902728285.1	full	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Cnidaria, Hydrozoa, Hydroidolina, Leptothecata, Obeliida, Clytiidae, Clytia
UP000887567	Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	2652724	25273	C:94.8%[S:83.5%,D:11.2%],F:2.1%,M:3.1%,n:954	Unknown	GCA_001417965.1	full	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Cnidaria, Anthozoa, Hexacorallia, Actiniaria, Aiptasiidae, Exaiptasia
UP001163046	Desmophyllum pertusum	174260	37379	C:71.6%[S:70.2%,D:1.4%],F:15.6%,M:12.8%,n:954	Unknown	GCA_029204205.1	full	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Caryophylliina, Caryophylliidae, Desmophyllum
UP000031668	Thelohanellus kitauei (Myxosporean)	669202	14792	C:25.4%[S:23.8%,D:1.6%],F:7.9%,M:66.8%,n:954	Unknown	GCA_000827895.1	full	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Cnidaria, Myxozoa, Myxosporea, Bivalvulida, Platysporina, Myxobolidae, Thelohanellus
UP000225706	Stylophora pistillata (Smooth cauliflower coral)	50429	23873	C:85.8%[S:85.5%,D:0.3%],F:5.0%,M:9.1%,n:954	Unknown	GCA_002571385.2	full	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Astrocoeniina, Pocilloporidae, Stylophora
UP001152795	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	317549	69559	C:80.2%[S:63.2%,D:17.0%],F:11.4%,M:8.4%,n:954	Unknown	GCA_902702795.2	full	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Cnidaria, Anthozoa, Octocorallia, Malacalcyonacea, Plexauridae, Paramuricea
UP001159405	Porites lobata	104759	42611	C:95.0%[S:91.3%,D:3.7%],F:1.8%,M:3.2%,n:954	Unknown	GCA_942486035.1	full	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Fungiina, Poritidae, Porites
UP001159427	Porites evermanni	104178	39801	C:93.2%[S:80.6%,D:12.6%],F:2.7%,M:4.1%,n:954	Unknown	GCA_942486025.1	full	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Fungiina, Poritidae, Porites
UP001159428	Pocillopora meandrina	46732	31944	C:94.9%[S:92.0%,D:2.8%],F:2.4%,M:2.7%,n:954	Unknown	GCA_942486045.1	full	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Astrocoeniina, Pocilloporidae, Pocillopora
UP001249851	Acropora cervicornis (Staghorn coral)	6130	27986	C:81.3%[S:80.7%,D:0.6%],F:9.6%,M:9.0%,n:954	Unknown	GCA_032359415.1	full	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Astrocoeniina, Acroporidae, Acropora
