#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
evm.utg801.83                       -            169 631798at33208        -            130   2.4e-34  119.5   9.2   1   1   1.6e-36   9.6e-33  114.3   9.2     9   129    34   166    26   167 0.82 -
evm.utg801.83.1.5c22f462            -            120 631798at33208        -            130   1.4e-14   55.6   2.6   1   1   2.7e-18   1.6e-14   55.3   2.3     9    83    34   108    25   112 0.92 -
evm.utg801.83.1.5c22f462.1.5c2797fb -             95 631798at33208        -            130   2.4e-12   48.4   2.9   1   1     5e-16   3.1e-12   48.0   2.8     9    61    34    86    10    89 0.92 -
evm.utg6821.11                      -            154 631798at33208        -            130     0.078   14.3   0.5   1   1   2.1e-05      0.13   13.6   0.5    19    59    68   108    62   136 0.78 -
evm.utg19396.4                      -            380 631798at33208        -            130      0.17   13.3   4.8   1   1   6.5e-05       0.4   12.0   4.8    12    55    29    72    25    89 0.92 -
evm.utg560.13                       -            153 631798at33208        -            130      0.65   11.4   0.9   1   1   0.00016      0.96   10.8   0.9    10    69    72   131    66   138 0.90 -
evm.utg389.33                       -            327 631798at33208        -            130       2.5    9.5   5.1   1   2       0.7   4.3e+03   -1.0   0.4    41    67    91   118    62   133 0.56 -
evm.utg389.33                       -            327 631798at33208        -            130       2.5    9.5   5.1   2   2   8.3e-05      0.51   11.7   0.4     4    65   146   208   144   215 0.85 -
evm.utg217.27.1.5c22ed21            -            581 631798at33208        -            130       3.6    9.0  10.0   1   2      0.96   5.9e+03   -1.5   0.1    12    31   238   257   234   291 0.74 -
evm.utg217.27.1.5c22ed21            -            581 631798at33208        -            130       3.6    9.0  10.0   2   2   0.00017       1.1   10.6   5.3    12    55   426   469   423   485 0.92 -
evm.utg217.27                       -            777 631798at33208        -            130       5.6    8.3   9.7   1   2       1.5     9e+03   -2.0   0.1    12    31   238   257   234   290 0.77 -
evm.utg217.27                       -            777 631798at33208        -            130       5.6    8.3   9.7   2   2   0.00027       1.7   10.0   5.4    12    55   426   469   423   484 0.92 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /uoa/scratch/users/r02hw22/project_dark_genes/busco_downloads/lineages/metazoa_odb10/hmms/631798at33208.hmm
# Target file:     /uoa/scratch/users/r02hw22/project_dark_genes/00_raw/equina_smart.rnam-trna.merged.ggf.curated.remredun.aa.fa
# Option settings: hmmsearch --domtblout /uoa/scratch/users/r02hw22/project_dark_genes/equina_busco_proteins/run_metazoa_odb10/hmmer_output/initial_run_results/631798at33208.out --cpu 1 /uoa/scratch/users/r02hw22/project_dark_genes/busco_downloads/lineages/metazoa_odb10/hmms/631798at33208.hmm /uoa/scratch/users/r02hw22/project_dark_genes/00_raw/equina_smart.rnam-trna.merged.ggf.curated.remredun.aa.fa 
# Current dir:     /uoa/scratch/users/r02hw22/project_dark_genes
# Date:            Sat Apr 25 14:42:59 2026
# [ok]
